"Uid","CLUB"
1594,"club-119"
1595,"club-108"
1596,"club-113"
1598,"club-110"
1599,"club-110"
1600,"club-102"
1603,"club-118"
1605,"club-113"
1608,"club-108"
1609,"club-107"
1610,"club-108"
1611,"club-110"
1612,"club-108"
1614,"club-113"
1617,"club-107"
1618,"club-108"
1620,"club-108"
1621,"club-119"
1623,"club-107"
1624,"club-110"
1629,"club-113"
1635,"club-118"
1639,"club-113"
1640,"club-107"
1641,"club-103"
1645,"club-113"
1646,"club-103"
1647,"club-108"
1648,"club-108"
1670,"club-209"
1672,"club-103"
1673,"club-105"
1676,"club-111"
1678,"club-103"
1680,"club-105"
1682,"club-113"
1683,"club-103"
1684,"club-102"
1687,"club-105"
1688,"club-105"
1689,"club-107"
1690,"club-103"
1692,"club-111"
1694,"club-103"
1699,"club-102"
1702,"club-105"
1704,"club-105"
1705,"club-103"
1706,"club-107"
1708,"club-604"
1709,"club-105"
1710,"club-132"
1712,"club-105"
1715,"club-103"
1716,"club-111"
1719,"club-106"
1722,"club-103"
1723,"club-106"
1725,"club-106"
1727,"club-107"
1732,"club-106"
1746,"club-134"
1755,"club-109"
1757,"club-117"
1768,"club-410"
1774,"club-134"
1787,"club-123"
1788,"club-212"
1792,"club-111"
1796,"club-123"
1816,"club-402"
1818,"club-102"
1819,"club-102"
1825,"club-413"
1836,"club-111"
1842,"club-105"
1846,"club-403"
1852,"club-105"
1861,"club-111"
1874,"club-109"
1876,"club-123"
1878,"club-242"
1890,"club-119"
1919,"club-133"
1921,"club-125"
1923,"club-242"
1929,"club-107"
1933,"club-105"
1934,"club-102"
1935,"club-102"
1938,"club-102"
1946,"club-123"
1947,"club-111"
1952,"club-211"
1964,"club-134"
1966,"club-101"
1976,"club-420"
1997,"club-119"
2008,"club-242"
2016,"club-111"
2019,"club-109"
2034,"club-111"
2050,"club-111"
2052,"club-134"
2055,"club-133"
2059,"club-604"
2068,"club-105"
2072,"club-110"
2073,"club-111"
2074,"club-109"
2078,"club-109"
2082,"club-109"
2085,"club-124"
2087,"club-109"
2089,"club-103"
2091,"club-111"
2093,"club-115"
2096,"club-103"
2097,"club-103"
2100,"club-111"
2101,"club-109"
2103,"club-109"
2104,"club-107"
2105,"club-109"
2107,"club-103"
2113,"club-103"
2122,"club-107"
2124,"club-107"
2126,"club-103"
2131,"club-107"
2133,"club-102"
2134,"club-107"
2137,"club-123"
2139,"club-102"
2141,"club-103"
2145,"club-123"
2150,"club-109"
2153,"club-123"
2155,"club-107"
2163,"club-103"
2164,"club-107"
2165,"club-102"
2169,"club-123"
2172,"club-402"
2177,"club-402"
2191,"club-123"
2193,"club-111"
2246,"club-134"
2260,"club-119"
2269,"club-111"
2276,"club-111"
2277,"club-126"
2279,"club-111"
2300,"club-403"
2312,"club-103"
2314,"club-108"
2315,"club-103"
2316,"club-122"
2317,"club-103"
2320,"club-102"
2322,"club-106"
2326,"club-109"
2327,"club-122"
2329,"club-106"
2331,"club-117"
2333,"club-117"
2334,"club-101"
2336,"club-103"
2337,"club-122"
2340,"club-102"
2342,"club-102"
2348,"club-103"
2352,"club-101"
2353,"club-109"
2357,"club-108"
2362,"club-111"
2365,"club-103"
2371,"club-105"
2403,"club-109"
2407,"club-125"
2409,"club-111"
2423,"club-233"
2425,"club-103"
2426,"club-604"
2430,"club-101"
2432,"club-233"
2435,"club-103"
2438,"club-103"
2439,"club-233"
2440,"club-102"
2443,"club-101"
2447,"club-413"
2476,"club-126"
2477,"club-102"
2479,"club-101"
2480,"club-108"
2481,"club-121"
2483,"club-101"
2485,"club-102"
2486,"club-102"
2487,"club-115"
2491,"club-420"
2492,"club-102"
2493,"club-105"
2494,"club-119"
2496,"club-102"
2497,"club-118"
2500,"club-106"
2501,"club-119"
2502,"club-108"
2505,"club-119"
2507,"club-118"
2518,"club-221"
2540,"club-124"
2547,"club-245"
2563,"club-101"
2584,"club-109"
2605,"club-211"
2626,"club-420"
2650,"club-109"
2654,"club-113"
2655,"club-105"
2659,"club-105"
2672,"club-134"
2679,"club-123"
2692,"club-107"
2695,"club-112"
2696,"club-105"
2697,"club-108"
2699,"club-122"
2702,"club-107"
2704,"club-107"
2706,"club-105"
2709,"club-110"
2713,"club-106"
2715,"club-107"
2717,"club-110"
2718,"club-122"
2720,"club-108"
2722,"club-110"
2724,"club-101"
2726,"club-110"
2727,"club-107"
2731,"club-112"
2733,"club-112"
2734,"club-101"
2735,"club-105"
2736,"club-112"
2738,"club-107"
2739,"club-101"
2741,"club-107"
2743,"club-107"
2744,"club-110"
2746,"club-107"
2748,"club-101"
2749,"club-105"
2750,"club-107"
2752,"club-110"
2753,"club-110"
2754,"club-111"
2758,"club-604"
2770,"club-242"
2787,"club-108"
2789,"club-121"
2791,"club-121"
2803,"club-404"
2824,"club-115"
2837,"club-402"
2842,"club-402"
2849,"club-109"
2864,"club-106"
2865,"club-112"
2866,"club-138"
2868,"club-138"
2880,"club-101"
2881,"club-122"
2882,"club-122"
2884,"club-102"
2885,"club-101"
2887,"club-112"
2888,"club-138"
2889,"club-102"
2890,"club-112"
2891,"club-106"
2892,"club-138"
2897,"club-114"
2898,"club-114"
2900,"club-138"
2901,"club-102"
2904,"club-106"
2906,"club-101"
2912,"club-102"
2913,"club-101"
2914,"club-102"
2915,"club-108"
2917,"club-102"
2919,"club-138"
2920,"club-102"
2921,"club-112"
2922,"club-138"
2923,"club-110"
2929,"club-102"
2930,"club-110"
2932,"club-108"
2933,"club-138"
2934,"club-102"
2937,"club-106"
2938,"club-101"
2943,"club-102"
2945,"club-101"
2948,"club-138"
2949,"club-112"
2952,"club-110"
2955,"club-101"
2956,"club-106"
2957,"club-108"
2958,"club-138"
2961,"club-110"
2964,"club-102"
2965,"club-102"
2966,"club-106"
2968,"club-102"
2971,"club-110"
2972,"club-138"
2991,"club-115"
2992,"club-413"
3000,"club-103"
3001,"club-103"
3004,"club-103"
3007,"club-106"
3018,"club-126"
3023,"club-126"
3025,"club-410"
3040,"club-102"
3043,"club-107"
3047,"club-101"
3048,"club-106"
3049,"club-102"
3052,"club-110"
3053,"club-103"
3054,"club-107"
3055,"club-102"
3058,"club-102"
3059,"club-114"
3060,"club-106"
3062,"club-102"
3064,"club-107"
3066,"club-102"
3067,"club-102"
3068,"club-107"
3070,"club-102"
3071,"club-107"
3073,"club-102"
3075,"club-107"
3076,"club-106"
3077,"club-106"
3078,"club-103"
3082,"club-101"
3083,"club-107"
3084,"club-102"
3086,"club-103"
3087,"club-110"
3091,"club-107"
3092,"club-106"
3093,"club-103"
3094,"club-114"
3095,"club-106"
3100,"club-102"
3101,"club-107"
3102,"club-107"
3103,"club-110"
3105,"club-106"
3106,"club-101"
3107,"club-102"
3108,"club-106"
3109,"club-102"
3111,"club-107"
3114,"club-103"
3115,"club-110"
3117,"club-101"
3122,"club-113"
3124,"club-105"
3125,"club-102"
3126,"club-108"
3128,"club-106"
3134,"club-113"
3135,"club-111"
3136,"club-107"
3141,"club-106"
3149,"club-102"
3150,"club-106"
3153,"club-102"
3154,"club-106"
3155,"club-108"
3161,"club-106"
3164,"club-107"
3165,"club-111"
3166,"club-106"
3167,"club-107"
3168,"club-108"
3170,"club-113"
3171,"club-102"
3174,"club-108"
3175,"club-106"
3176,"club-106"
3177,"club-107"
3178,"club-107"
3179,"club-106"
3182,"club-108"
3184,"club-106"
3186,"club-113"
3188,"club-106"
3189,"club-111"
3193,"club-106"
3194,"club-106"
3197,"club-113"
3200,"club-106"
3201,"club-111"
3206,"club-105"
3209,"club-107"
3211,"club-102"
3212,"club-102"
3214,"club-106"
3216,"club-102"
3225,"club-106"
3228,"club-106"
3229,"club-113"
3232,"club-107"
3233,"club-110"
3235,"club-110"
3236,"club-110"
3240,"club-110"
3242,"club-121"
3243,"club-102"
3256,"club-107"
3261,"club-106"
3263,"club-106"
3266,"club-107"
3269,"club-106"
3271,"club-106"
3272,"club-110"
3274,"club-110"
3276,"club-102"
3277,"club-110"
3283,"club-110"
3285,"club-119"
3287,"club-106"
3295,"club-245"
3296,"club-128"
3298,"club-106"
3304,"club-242"
3306,"club-109"
3317,"club-106"
3318,"club-106"
3319,"club-221"
3325,"club-404"
3329,"club-245"
3350,"club-103"
3352,"club-410"
3353,"club-127"
3387,"club-111"
3402,"club-242"
3407,"club-103"
3411,"club-110"
3412,"club-102"
3413,"club-106"
3415,"club-109"
3419,"club-106"
3421,"club-109"
3422,"club-102"
3424,"club-106"
3426,"club-108"
3427,"club-107"
3431,"club-113"
3435,"club-122"
3439,"club-113"
3441,"club-102"
3442,"club-116"
3444,"club-122"
3446,"club-109"
3447,"club-116"
3448,"club-108"
3449,"club-106"
3450,"club-113"
3451,"club-108"
3452,"club-102"
3455,"club-113"
3458,"club-107"
3459,"club-116"
3461,"club-116"
3463,"club-113"
3465,"club-106"
3466,"club-102"
3467,"club-122"
3469,"club-102"
3470,"club-103"
3471,"club-103"
3473,"club-106"
3476,"club-108"
3479,"club-106"
3483,"club-116"
3484,"club-102"
3487,"club-113"
3488,"club-106"
3490,"club-109"
3491,"club-109"
3492,"club-116"
3494,"club-107"
3506,"club-410"
3507,"club-245"
3515,"club-116"
3524,"club-106"
3526,"club-105"
3527,"club-116"
3528,"club-109"
3529,"club-109"
3531,"club-109"
3533,"club-108"
3534,"club-103"
3535,"club-101"
3537,"club-109"
3541,"club-106"
3542,"club-103"
3543,"club-101"
3548,"club-107"
3549,"club-245"
3551,"club-103"
3553,"club-113"
3555,"club-107"
3560,"club-107"
3561,"club-110"
3563,"club-113"
3566,"club-110"
3568,"club-113"
3569,"club-113"
3570,"club-103"
3573,"club-113"
3574,"club-107"
3575,"club-107"
3576,"club-113"
3583,"club-113"
3584,"club-103"
3585,"club-102"
3595,"club-132"
3596,"club-102"
3599,"club-113"
3600,"club-113"
3603,"club-102"
3608,"club-105"
3611,"club-103"
3616,"club-121"
3617,"club-103"
3619,"club-121"
3621,"club-121"
3622,"club-117"
3623,"club-102"
3625,"club-111"
3628,"club-102"
3629,"club-103"
3631,"club-138"
3634,"club-103"
3645,"club-131"
3647,"club-138"
3649,"club-108"
3650,"club-209"
3651,"club-108"
3653,"club-131"
3654,"club-105"
3657,"club-209"
3659,"club-105"
3660,"club-138"
3661,"club-203"
3663,"club-112"
3664,"club-138"
3665,"club-131"
3668,"club-228"
3669,"club-131"
3671,"club-112"
3675,"club-228"
3676,"club-203"
3677,"club-138"
3679,"club-203"
3691,"club-138"
3692,"club-213"
3694,"club-131"
3699,"club-103"
3700,"club-131"
3701,"club-105"
3702,"club-228"
3704,"club-112"
3705,"club-138"
3708,"club-103"
3709,"club-203"
3710,"club-228"
3711,"club-201"
3712,"club-138"
3714,"club-105"
3716,"club-131"
3717,"club-228"
3719,"club-131"
3721,"club-103"
3724,"club-105"
3726,"club-103"
3732,"club-112"
3735,"club-105"
3738,"club-103"
3739,"club-228"
3741,"club-228"
3744,"club-209"
3745,"club-103"
3746,"club-103"
3750,"club-103"
3751,"club-203"
3753,"club-203"
3755,"club-138"
3758,"club-103"
3759,"club-105"
3760,"club-138"
3761,"club-203"
3766,"club-138"
3767,"club-203"
3768,"club-228"
3770,"club-112"
3771,"club-105"
3774,"club-228"
3780,"club-213"
3782,"club-131"
3785,"club-213"
3787,"club-213"
3788,"club-131"
3789,"club-131"
3793,"club-112"
3796,"club-203"
3799,"club-103"
3800,"club-203"
3801,"club-105"
3802,"club-103"
3803,"club-209"
3804,"club-138"
3806,"club-131"
3807,"club-108"
3809,"club-103"
3816,"club-103"
3817,"club-203"
3818,"club-138"
3821,"club-138"
3824,"club-103"
3825,"club-138"
3827,"club-105"
3831,"club-103"
3833,"club-138"
3836,"club-105"
3837,"club-138"
3838,"club-105"
3839,"club-213"
3841,"club-103"
3844,"club-209"
3846,"club-131"
3847,"club-138"
3848,"club-138"
3854,"club-228"
3856,"club-213"
3857,"club-213"
3859,"club-203"
3860,"club-138"
3861,"club-213"
3863,"club-203"
3868,"club-228"
3870,"club-105"
3877,"club-131"
3878,"club-228"
3881,"club-131"
3883,"club-112"
3884,"club-103"
3885,"club-203"
3886,"club-213"
3888,"club-228"
3889,"club-138"
3894,"club-105"
3896,"club-108"
3897,"club-103"
3899,"club-105"
3900,"club-203"
3905,"club-203"
3906,"club-105"
3908,"club-105"
3909,"club-103"
3922,"club-112"
3923,"club-203"
3927,"club-228"
3928,"club-103"
3929,"club-131"
3930,"club-105"
3940,"club-203"
3941,"club-203"
3944,"club-103"
3948,"club-213"
3951,"club-112"
3952,"club-203"
3954,"club-203"
3955,"club-203"
3956,"club-105"
3957,"club-105"
3958,"club-105"
3962,"club-131"
3964,"club-203"
3966,"club-203"
3969,"club-138"
3973,"club-103"
3976,"club-228"
3982,"club-112"
3983,"club-213"
3984,"club-203"
3985,"club-105"
3986,"club-131"
3987,"club-103"
3989,"club-138"
3990,"club-138"
3992,"club-138"
3994,"club-131"
3996,"club-138"
3997,"club-103"
4000,"club-209"
4001,"club-103"
4004,"club-105"
4005,"club-131"
4009,"club-108"
4011,"club-103"
4012,"club-228"
4014,"club-228"
4015,"club-213"
4016,"club-112"
4017,"club-105"
4018,"club-103"
4019,"club-131"
4020,"club-105"
4021,"club-131"
4022,"club-103"
4023,"club-105"
4026,"club-103"
4027,"club-103"
4028,"club-103"
4029,"club-203"
4030,"club-108"
4031,"club-105"
4032,"club-105"
4035,"club-138"
4036,"club-131"
4039,"club-103"
4041,"club-203"
4042,"club-105"
4044,"club-228"
4045,"club-131"
4046,"club-201"
4048,"club-203"
4051,"club-103"
4052,"club-105"
4058,"club-112"
4059,"club-138"
4060,"club-138"
4062,"club-228"
4063,"club-209"
4064,"club-213"
4065,"club-103"
4066,"club-103"
4067,"club-203"
4069,"club-209"
4073,"club-103"
4083,"club-105"
4085,"club-103"
4089,"club-213"
4092,"club-228"
4093,"club-203"
4099,"club-105"
4100,"club-131"
4104,"club-228"
4106,"club-201"
4107,"club-103"
4108,"club-105"
4109,"club-138"
4110,"club-105"
4118,"club-105"
4119,"club-138"
4120,"club-131"
4121,"club-203"
4123,"club-203"
4124,"club-131"
4125,"club-138"
4126,"club-203"
4127,"club-112"
4128,"club-138"
4129,"club-103"
4132,"club-105"
4133,"club-138"
4136,"club-103"
4137,"club-228"
4139,"club-228"
4145,"club-213"
4148,"club-103"
4149,"club-203"
4150,"club-213"
4152,"club-108"
4153,"club-228"
4154,"club-228"
4155,"club-213"
4160,"club-108"
4164,"club-123"
4166,"club-121"
4193,"club-129"
4212,"club-404"
4213,"club-132"
4214,"club-102"
4216,"club-111"
4219,"club-107"
4220,"club-107"
4224,"club-119"
4264,"club-402"
4270,"club-123"
4274,"club-134"
4292,"club-113"
4294,"club-116"
4295,"club-113"
4296,"club-136"
4297,"club-107"
4300,"club-113"
4301,"club-102"
4302,"club-107"
4305,"club-107"
4307,"club-102"
4309,"club-102"
4310,"club-107"
4311,"club-102"
4312,"club-113"
4314,"club-107"
4318,"club-113"
4321,"club-116"
4322,"club-113"
4327,"club-116"
4328,"club-107"
4332,"club-113"
4333,"club-113"
4334,"club-101"
4341,"club-102"
4354,"club-601"
4367,"club-108"
4379,"club-111"
4384,"club-123"
4395,"club-134"
4413,"club-106"
4415,"club-123"
4419,"club-105"
4423,"club-123"
4429,"club-117"
4437,"club-106"
4438,"club-106"
4443,"club-102"
4444,"club-103"
4452,"club-105"
4453,"club-105"
4454,"club-101"
4462,"club-105"
4464,"club-101"
4465,"club-102"
4467,"club-103"
4468,"club-111"
4471,"club-102"
4476,"club-101"
4477,"club-102"
4481,"club-134"
4482,"club-106"
4483,"club-105"
4487,"club-102"
4491,"club-126"
4493,"club-105"
4494,"club-103"
4495,"club-101"
4497,"club-105"
4502,"club-118"
4504,"club-112"
4505,"club-106"
4507,"club-118"
4509,"club-105"
4510,"club-108"
4511,"club-107"
4513,"club-108"
4514,"club-103"
4516,"club-108"
4517,"club-105"
4519,"club-106"
4520,"club-103"
4529,"club-266"
4533,"club-111"
4537,"club-102"
4539,"club-102"
4541,"club-212"
4542,"club-107"
4543,"club-107"
4544,"club-108"
4546,"club-102"
4549,"club-102"
4551,"club-107"
4552,"club-102"
4553,"club-102"
4554,"club-102"
4557,"club-126"
4558,"club-107"
4562,"club-105"
4564,"club-102"
4578,"club-113"
4583,"club-121"
4589,"club-115"
4590,"club-115"
4592,"club-102"
4593,"club-114"
4598,"club-102"
4604,"club-102"
4605,"club-114"
4608,"club-604"
4609,"club-114"
4610,"club-115"
4611,"club-121"
4620,"club-604"
4625,"club-108"
4626,"club-103"
4628,"club-105"
4631,"club-108"
4634,"club-101"
4660,"club-245"
4684,"club-403"
4695,"club-121"
4711,"club-402"
4723,"club-133"
4726,"club-105"
4736,"club-106"
4738,"club-101"
4743,"club-102"
4745,"club-407"
4755,"club-108"
4762,"club-109"
4803,"club-109"
4833,"club-604"
4834,"club-127"
4839,"club-403"
4864,"club-111"
4894,"club-242"
4902,"club-403"
4903,"club-119"
4904,"club-242"
4934,"club-245"
4937,"club-242"
4940,"club-407"
4962,"club-211"
4988,"club-233"
5012,"club-109"
5034,"club-601"
5044,"club-115"
5057,"club-109"
5061,"club-242"
5080,"club-109"
5087,"club-403"
5099,"club-111"
5103,"club-102"
5130,"club-102"
5131,"club-108"
5133,"club-118"
5136,"club-108"
5137,"club-107"
5138,"club-118"
5140,"club-112"
5141,"club-108"
5142,"club-121"
5143,"club-121"
5148,"club-108"
5151,"club-107"
5160,"club-118"
5161,"club-105"
5164,"club-201"
5165,"club-108"
5173,"club-201"
5174,"club-108"
5176,"club-107"
5177,"club-109"
5178,"club-108"
5179,"club-108"
5180,"club-118"
5181,"club-121"
5185,"club-102"
5186,"club-105"
5187,"club-121"
5190,"club-201"
5192,"club-108"
5193,"club-108"
5194,"club-121"
5196,"club-102"
5198,"club-111"
5200,"club-111"
5231,"club-101"
5232,"club-111"
5271,"club-111"
5284,"club-413"
5289,"club-109"
5291,"club-109"
5293,"club-111"
5294,"club-111"
5305,"club-413"
5316,"club-233"
5317,"club-413"
5324,"club-108"
5357,"club-604"
5359,"club-111"
5360,"club-202"
5368,"club-133"
5371,"club-403"
5377,"club-125"
5386,"club-403"
5389,"club-135"
5396,"club-206"
5399,"club-102"
5400,"club-604"
5401,"club-103"
5405,"club-125"
5407,"club-101"
5408,"club-102"
5410,"club-102"
5412,"club-102"
5414,"club-102"
5417,"club-103"
5418,"club-102"
5419,"club-103"
5421,"club-102"
5426,"club-102"
5427,"club-115"
5459,"club-245"
5489,"club-242"
5490,"club-243"
5502,"club-242"
5504,"club-242"
5513,"club-111"
5518,"club-242"
5526,"club-420"
5527,"club-123"
5541,"club-133"
5547,"club-110"
5551,"club-110"
5552,"club-123"
5554,"club-110"
5575,"club-111"
5584,"club-202"
5596,"club-123"
5597,"club-605"
5605,"club-133"
5608,"club-111"
5622,"club-101"
5625,"club-124"
5627,"club-108"
5633,"club-124"
5634,"club-133"
5637,"club-604"
5641,"club-101"
5642,"club-119"
5644,"club-108"
5656,"club-125"
5661,"club-125"
5665,"club-133"
5668,"club-132"
5677,"club-109"
5686,"club-242"
5689,"club-604"
5691,"club-109"
5702,"club-127"
5723,"club-242"
5724,"club-109"
5727,"club-402"
5730,"club-242"
5741,"club-267"
5748,"club-101"
5757,"club-115"
5760,"club-132"
5774,"club-222"
5779,"club-242"
5780,"club-111"
5789,"club-219"
5791,"club-249"
5794,"club-136"
5797,"club-102"
5798,"club-109"
5800,"club-420"
5805,"club-118"
5812,"club-102"
5827,"club-218"
5842,"club-604"
5847,"club-119"
5853,"club-115"
5863,"club-111"
5868,"club-103"
5887,"club-134"
5929,"club-117"
5933,"club-413"
5961,"club-105"
5966,"club-106"
5970,"club-107"
5975,"club-127"
5976,"club-127"
5981,"club-111"
5987,"club-111"
5991,"club-103"
5994,"club-103"
5996,"club-103"
5998,"club-118"
6015,"club-111"
6023,"club-127"
6032,"club-413"
6036,"club-402"
6039,"club-218"
6042,"club-103"
6043,"club-103"
6045,"club-108"
6050,"club-108"
6069,"club-402"
6071,"club-102"
6072,"club-102"
6074,"club-102"
6076,"club-113"
6079,"club-102"
6082,"club-105"
6084,"club-105"
6087,"club-101"
6088,"club-113"
6089,"club-101"
6091,"club-106"
6093,"club-113"
6094,"club-105"
6097,"club-102"
6101,"club-101"
6103,"club-102"
6104,"club-102"
6106,"club-122"
6107,"club-106"
6109,"club-102"
6114,"club-105"
6116,"club-102"
6117,"club-105"
6120,"club-105"
6121,"club-102"
6124,"club-101"
6125,"club-110"
6127,"club-102"
6129,"club-102"
6132,"club-101"
6134,"club-106"
6138,"club-110"
6139,"club-110"
6141,"club-108"
6142,"club-105"
6148,"club-122"
6149,"club-105"
6150,"club-105"
6151,"club-113"
6156,"club-110"
6157,"club-106"
6158,"club-102"
6161,"club-102"
6163,"club-101"
6166,"club-110"
6168,"club-106"
6170,"club-102"
6172,"club-110"
6173,"club-102"
6175,"club-102"
6176,"club-113"
6177,"club-108"
6228,"club-408"
6229,"club-408"
6230,"club-242"
6233,"club-242"
6240,"club-245"
6243,"club-111"
6263,"club-604"
6267,"club-105"
6270,"club-118"
6271,"club-102"
6272,"club-118"
6274,"club-110"
6275,"club-113"
6276,"club-102"
6277,"club-105"
6279,"club-106"
6284,"club-108"
6287,"club-105"
6288,"club-108"
6290,"club-110"
6291,"club-102"
6292,"club-113"
6300,"club-106"
6302,"club-106"
6304,"club-106"
6306,"club-108"
6307,"club-113"
6308,"club-113"
6312,"club-103"
6316,"club-106"
6317,"club-113"
6318,"club-113"
6325,"club-105"
6326,"club-113"
6327,"club-118"
6331,"club-102"
6334,"club-118"
6336,"club-108"
6337,"club-103"
6338,"club-113"
6340,"club-102"
6342,"club-101"
6344,"club-108"
6345,"club-105"
6346,"club-110"
6347,"club-113"
6353,"club-115"
6356,"club-109"
6361,"club-125"
6365,"club-102"
6366,"club-122"
6369,"club-109"
6378,"club-119"
6380,"club-401"
6383,"club-413"
6409,"club-125"
6420,"club-109"
6425,"club-109"
6426,"club-128"
6443,"club-133"
6465,"club-111"
6474,"club-132"
6483,"club-413"
6488,"club-108"
6490,"club-108"
6500,"club-108"
6503,"club-209"
6505,"club-108"
6508,"club-121"
6513,"club-101"
6519,"club-121"
6523,"club-402"
6557,"club-108"
6561,"club-108"
6562,"club-103"
6563,"club-103"
6564,"club-122"
6567,"club-105"
6568,"club-106"
6569,"club-103"
6570,"club-110"
6571,"club-101"
6575,"club-110"
6577,"club-110"
6579,"club-112"
6582,"club-102"
6583,"club-108"
6584,"club-110"
6585,"club-112"
6588,"club-122"
6592,"club-122"
6593,"club-102"
6594,"club-102"
6597,"club-102"
6600,"club-110"
6601,"club-114"
6602,"club-106"
6605,"club-122"
6609,"club-101"
6611,"club-112"
6613,"club-103"
6614,"club-102"
6616,"club-103"
6617,"club-102"
6618,"club-101"
6620,"club-122"
6621,"club-108"
6622,"club-110"
6623,"club-102"
6628,"club-122"
6629,"club-106"
6630,"club-106"
6632,"club-108"
6635,"club-102"
6637,"club-114"
6638,"club-103"
6639,"club-105"
6640,"club-122"
6641,"club-102"
6646,"club-102"
6647,"club-102"
6649,"club-108"
6650,"club-106"
6655,"club-133"
6664,"club-245"
6676,"club-204"
6699,"club-133"
6720,"club-105"
6723,"club-129"
6761,"club-123"
6780,"club-245"
6793,"club-111"
6794,"club-126"
6806,"club-404"
6847,"club-213"
6859,"club-242"
6860,"club-133"
6863,"club-403"
6866,"club-245"
6877,"club-109"
6880,"club-125"
6891,"club-245"
6898,"club-245"
6907,"club-206"
6945,"club-111"
6966,"club-111"
6977,"club-133"
6980,"club-245"
6989,"club-115"
6993,"club-101"
6994,"club-201"
6996,"club-109"
6998,"club-117"
6999,"club-109"
7001,"club-113"
7004,"club-109"
7007,"club-101"
7010,"club-109"
7012,"club-201"
7013,"club-204"
7015,"club-101"
7019,"club-109"
7024,"club-113"
