"Uid","WORK_CONDITION","TERMS_OF_EMP","working_hours","JOB_DEP","Eco_sect","Employer_category","job_category","Job_desc","EMOLUMENT","employee_count"
256,"C","CDI",1447,"01","CH","ct_9","O","624f",23413,"tr_3"
259,"C","CDI",1412,"76","CA","ct_9","O","373d",32509,"tr_6"
284,"C","CDI",1462,"01","CK","ct_9","O","466b",24102,"tr_3"
286,"C","CDI",1675,"69","CK","ct_9","O","477b",20536,"tr_2"
296,"C","CDI",1701,"01","FZ","ct_9","O","681a",17861,"tr_1"
303,"C","CDI",1116,"01","NZ","ct_9","O","684a",10034,"tr_4"
315,"C","CDI",1975,"01","HZ","ct_9","O","521a",23139,"tr_4"
324,"C","CDI",2112,"69","GZ","ct_9","O","462b",30804,"tr_5"
327,"C","CDI",1820,"01","QB","ct_8","O","543h",19525,"tr_1"
332,"C","CDI",1212,"01","GZ","ct_9","O","556a",10889,"tr_1"
336,"C","CDI",1838,"01","SZ","ct_8","O","434d",22022,"tr_2"
340,"C","CDI",1955,"01","CG","ct_9","O","674a",21005,"tr_3"
356,"C","CDI",2044,"01","OZ","ct_8","O","461d",20297,"tr_6"
361,"C","CDI",1669,"01","FZ","ct_9","O","681a",21373,"tr_1"
368,"P","CDI",1167,"69","DZ","ct_9","O","463b",20472,"tr_6"
370,"C","CDI",2317,"71","HZ","ct_9","O","641a",25100,"tr_6"
374,"C","CDI",1820,"01","EZ","ct_9","O","684b",20661,"tr_1"
378,"C","CDI",1950,"01","CL","ct_9","O","624g",19203,"tr_4"
381,"C","CDI",1820,"69","NZ","ct_9","O","388b",52122,"tr_6"
390,"C","CDI",441,"01","NZ","ct_9","O","374d",26369,"tr_1"
391,"N","CDI",3000,"01","QB","ct_7","O","563a",14283,"tr_1"
392,"C","CDI",1718,"38","GZ","ct_9","O","554f",18986,"tr_1"
398,"C","APP",827,"01","LZ","ct_5","A","543h",4570,"tr_6"
399,"C","CDI",1820,"01","QB","ct_8","O","423b",18563,"tr_3"
400,"C","CDI",1400,"01","CB","ct_9","O","387b",31686,"tr_4"
401,"C","CDI",1818,"01","QA","ct_8","O","431f",24982,"tr_6"
403,"C","CDI",1763,"01","CH","ct_9","O","628a",22525,"tr_1"
408,"C","CDI",1634,"69","HZ","ct_9","O","641a",20897,"tr_3"
411,"N","CDI",3000,"01","QB","ct_7","O","563a",16631,"tr_1"
412,"P","CDI",990,"01","QA","ct_8","O","525d",10189,"tr_5"
421,"C","CDI",1976,"69","CK","ct_9","O","477a",33260,"tr_6"
423,"C","CDI",1881,"01","CH","ct_9","O","673a",18920,"tr_3"
428,"C","CDI",1627,"35","CI","ct_9","O","383c",33105,"tr_6"
435,"C","CDI",1821,"69","OZ","ct_8","O","545d",25620,"tr_6"
439,"C","CDI",320,"75","IZ","ct_9","O","377a",27994,"tr_6"
449,"P","CDI",913,"69","CB","ct_9","O","461c",24617,"tr_2"
456,"P","CDI",833,"69","QB","ct_8","O","526c",10710,"tr_1"
466,"C","CDI",1763,"01","QA","ct_8","O","431f",25343,"tr_6"
474,"N","CDI",3000,"01","QB","ct_7","O","563a",21915,"tr_1"
476,"C","AUT",2624,"01","QA","ct_3","O","526a",23519,"tr_6"
497,"C","CDI",1820,"01","PZ","ct_8","O","421b",28341,"tr_3"
498,"P","AUT",1570,"01","OZ","ct_2","O","523c",15914,"tr_2"
502,"C","TOA",473,"73","GZ","ct_9","O","554e",5263,"tr_1"
507,"N","CDI",3000,"01","QB","ct_7","O","563a",17813,"tr_1"
515,"P","CDI",1077,"01","QB","ct_8","O","526a",16108,"tr_4"
529,"C","CDI",3000,"01","QA","ct_9","O","433a",53659,"tr_2"
537,"C","CDI",1598,"01","QB","ct_9","O","526a",15074,"tr_4"
540,"C","CDI",1424,"01","QB","ct_8","O","525d",15619,"tr_4"
553,"P","CDI",1055,"01","OZ","ct_2","O","524c",11100,"tr_3"
559,"C","CDI",1811,"01","CH","ct_9","O","623e",20708,"tr_3"
565,"P","CDI",347,"01","IZ","ct_9","O","561c",3305,"tr_5"
575,"P","CDI",729,"01","CA","ct_9","O","554a",7646,"tr_1"
576,"C","CDD",1418,"75","FZ","ct_9","O","478c",13421,"tr_6"
583,"C","CDI",1817,"69","GZ","ct_9","O","543f",29515,"tr_5"
585,"C","CDI",1391,"01","GZ","ct_9","O","634c",19326,"tr_1"
588,"C","CDI",1286,"71","GZ","ct_9","O","653a",12430,"tr_3"
590,"C","TTP",607,"01","NZ","ct_9","O","551a",7092,"tr_1"
592,"C","CDI",466,"01","CA","ct_9","O","625f",7693,"tr_5"
595,"P","CDD",278,"01","IZ","ct_6","O","561c",2483,"tr_1"
609,"C","CDI",1900,"01","MA","ct_9","O","543b",28868,"tr_2"
617,"C","CDI",1820,"01","QB","ct_8","O","525d",16241,"tr_3"
628,"C","CDI",926,"71","QB","ct_8","O","434a",25668,"tr_5"
635,"P","CDI",842,"69","QA","ct_8","O","431f",13143,"tr_6"
639,"C","CDI",1277,"67","GZ","ct_9","O","374d",23621,"tr_3"
641,"C","CDI",1820,"01","KZ","ct_9","O","467a",23974,"tr_6"
646,"C","CDI",1319,"39","CL","ct_9","O","387d",26221,"tr_4"
647,"C","APP",1603,"01","FZ","ct_9","A","632f",11864,"tr_2"
670,"C","CDI",970,"01","CM","ct_9","O","464a",14492,"tr_3"
678,"C","CDI",929,"01","NZ","ct_9","O","631a",6579,"tr_1"
680,"C","CDI",1663,"71","IZ","ct_9","O","468a",13694,"tr_4"
688,"C","CDI",1820,"01","PZ","ct_8","O","341a",45669,"tr_3"
696,"C","CDI",157,"01","LZ","ct_9","O","463e",1011,"tr_1"
698,"C","CDI",1820,"01","QA","ct_9","O","526c",12974,"tr_5"
714,"C","CDI",2028,"69","NZ","ct_9","O","431d",34818,"tr_3"
717,"C","APP",797,"69","KZ","ct_9","A","464a",6102,"tr_6"
722,"P","CDI",1423,"01","CG","ct_9","O","484a",24502,"tr_5"
724,"C","CDI",1927,"01","GZ","ct_9","O","551a",17224,"tr_3"
734,"P","CDI",1423,"01","CG","ct_9","O","484a",25810,"tr_5"
743,"C","CDI",1877,"74","PZ","ct_8","O","422d",26225,"tr_3"
747,"C","CDI",998,"74","FZ","ct_9","O","632j",15496,"tr_4"
758,"C","TOA",724,"01","IZ","ct_9","O","561c",6441,"tr_1"
760,"C","CDI",1806,"69","QA","ct_9","O","526a",19207,"tr_6"
762,"C","CDI",1567,"01","CG","ct_9","O","385b",20136,"tr_5"
766,"P","CDI",1638,"01","GZ","ct_9","O","344d",36033,"tr_1"
780,"C","CDI",2122,"01","NZ","ct_9","O","433a",37325,"tr_3"
783,"C","CDI",2009,"69","GZ","ct_9","O","462b",31406,"tr_5"
794,"C","CDI",1818,"74","PZ","ct_8","O","341a",34055,"tr_3"
801,"P","CDI",855,"01","QA","ct_8","O","526a",20344,"tr_5"
808,"C","CDI",2172,"60","HZ","ct_9","O","641a",25174,"tr_3"
815,"C","CDI",1733,"01","QB","ct_8","O","526a",21898,"tr_4"
819,"C","CDI",1792,"71","FZ","ct_9","O","543h",24679,"tr_1"
823,"C","CDI",1369,"01","KZ","ct_9","O","542a",15550,"tr_1"
846,"C","CDI",1758,"01","QB","ct_8","O","526d",17587,"tr_4"
847,"C","TTP",1116,"01","NZ","ct_9","O","625g",10260,"tr_1"
859,"C","CDI",1760,"01","GZ","ct_9","O","487a",22846,"tr_5"
861,"C","CDI",1820,"01","PZ","ct_8","O","341a",35309,"tr_3"
862,"N","CDI",1484,"01","TZ","ct_7","O","563c",11263,"tr_1"
871,"C","CDI",2184,"01","FZ","ct_9","O","481b",45401,"tr_4"
873,"P","CDI",780,"01","CC","ct_9","O","627d",7075,"tr_1"
884,"C","CDI",1874,"01","CG","ct_9","O","484a",26407,"tr_4"
890,"C","AUT",1819,"69","OZ","ct_2","O","472d",22865,"tr_5"
894,"C","AUT",1820,"71","QA","ct_3","O","523d",25095,"tr_6"
900,"N","CDI",3000,"01","QB","ct_7","O","563a",13866,"tr_1"
902,"C","CDI",1741,"01","SZ","ct_9","O","628g",23246,"tr_5"
912,"C","CDI",1687,"01","GZ","ct_9","O","387e",26697,"tr_3"
919,"C","CDD",1301,"01","CL","ct_9","O","673c",17721,"tr_3"
932,"C","CDI",2028,"39","CG","ct_9","O","385a",110379,"tr_4"
944,"C","CDI",992,"69","RZ","ct_8","O","462e",23503,"tr_3"
960,"C","CDI",1817,"01","MA","ct_9","O","382a",35800,"tr_3"
966,"C","APP",357,"01","CG","ct_9","A","674a",2975,"tr_1"
967,"P","CDI",1482,"01","QA","ct_9","O","526e",12431,"tr_1"
968,"C","CDI",1813,"01","QA","ct_8","O","344d",52145,"tr_5"
971,"C","CDI",1964,"69","QB","ct_8","O","526d",23799,"tr_3"
975,"C","CDI",1702,"01","MA","ct_6","O","461c",18571,"tr_1"
982,"C","CDI",1820,"69","GZ","ct_9","O","374c",41286,"tr_5"
986,"C","CDI",1820,"01","CA","ct_9","O","385b",30740,"tr_3"
993,"C","CDI",1820,"01","QA","ct_3","O","525d",16346,"tr_6"
997,"C","CDI",1901,"71","SZ","ct_9","O","473c",19263,"tr_1"
1002,"C","CDI",1529,"02","FZ","ct_9","O","632a",16727,"tr_1"
1007,"C","TTP",1100,"02","NZ","ct_9","O","671a",15411,"tr_1"
1009,"C","AUT",1595,"02","QA","ct_3","O","451h",20684,"tr_6"
1011,"C","CDI",1748,"02","CA","ct_9","O","543b",36094,"tr_4"
1013,"C","CDI",1511,"02","NZ","ct_9","O","372d",29497,"tr_2"
1018,"N","CDI",718,"02","QB","ct_7","O","563a",2278,"tr_0"
1021,"C","CDI",1662,"02","CG","ct_9","O","674a",28296,"tr_4"
1029,"C","CDI",509,"77","HZ","ct_9","O","477a",8199,"tr_6"
1033,"P","CDI",1475,"02","GZ","ct_9","O","552a",16129,"tr_6"
1035,"C","CDI",1827,"59","QA","ct_3","O","526a",21851,"tr_6"
1037,"C","CDI",1825,"02","QB","ct_9","O","526a",22894,"tr_4"
1043,"C","CDI",1820,"02","CE","ct_9","O","625c",33395,"tr_5"
1044,"C","APP",1820,"02","GZ","ct_9","A","554a",9402,"tr_1"
1049,"C","CDI",1774,"02","GZ","ct_9","O","462e",25185,"tr_2"
1057,"C","CDI",1726,"51","MA","ct_9","O","543e",23793,"tr_3"
1079,"P","AUT",827,"02","SZ","ct_8","X","685a",6365,"tr_3"
1082,"C","TTP",843,"02","NZ","ct_9","O","676c",10704,"tr_1"
1085,"C","CDI",1590,"02","FZ","ct_9","O","463e",28349,"tr_1"
1096,"C","CDI",1798,"02","CA","ct_9","O","684a",15914,"tr_6"
1100,"C","CDI",753,"02","CE","ct_9","O","676c",12687,"tr_5"
1106,"C","CDI",319,"94","LZ","ct_9","O","641b",8857,"tr_5"
1110,"C","CDI",1820,"02","HZ","ct_9","O","466c",28579,"tr_5"
1124,"C","CDI",1448,"94","GZ","ct_9","O","556a",23868,"tr_6"
1140,"C","CDI",1570,"02","FZ","ct_9","O","632e",14019,"tr_3"
1147,"C","CDI",1820,"02","PZ","ct_8","O","421b",30320,"tr_3"
1148,"C","CDI",2200,"95","HZ","ct_9","O","655a",53065,"tr_6"
1149,"C","CDI",1495,"02","CG","ct_9","O","621e",22751,"tr_5"
1152,"C","APP",1119,"02","GZ","ct_6","A","685a",9580,"tr_0"
1153,"P","CDI",226,"02","QB","ct_3","O","523d",2604,"tr_4"
1154,"C","CDI",1256,"02","GZ","ct_9","O","551a",15698,"tr_3"
1161,"C","CDD",1378,"02","QA","ct_3","O","525d",15536,"tr_5"
1177,"C","CDI",1715,"02","GZ","ct_9","O","374d",33384,"tr_1"
1186,"P","CDI",1362,"02","PZ","ct_8","O","422c",17438,"tr_3"
1191,"P","CDI",1616,"02","GZ","ct_9","O","462e",15589,"tr_3"
1197,"C","CDI",1838,"02","CA","ct_9","O","625f",16051,"tr_4"
1213,"C","CDI",1820,"02","CA","ct_9","O","385a",38130,"tr_5"
1218,"C","CDI",1811,"60","CD","ct_9","O","374d",68737,"tr_3"
1219,"C","CDI",1595,"60","CL","ct_9","O","674a",20464,"tr_5"
1220,"C","CDI",1365,"69","GZ","ct_9","O","383b",49258,"tr_2"
1225,"C","CDI",1488,"02","GZ","ct_9","O","653a",17384,"tr_3"
1228,"P","CDI",1570,"02","GZ","ct_9","O","433d",20047,"tr_1"
1240,"C","CDI",304,"62","HZ","ct_9","O","651a",2306,"tr_2"
1246,"C","CDI",1517,"02","CK","ct_9","O","387b",33437,"tr_0"
1248,"C","CDI",1999,"75","HZ","ct_5","O","628b",25886,"tr_5"
1262,"C","CDI",1650,"02","QB","ct_8","O","434d",12780,"tr_5"
1272,"N","CDI",1365,"56","GZ","ct_9","O","463d",14495,"tr_6"
1278,"P","CDI",619,"02","IZ","ct_6","O","554h",16998,"tr_1"
1286,"C","CDI",1512,"95","NZ","ct_9","O","534a",18644,"tr_6"
1289,"P","CDI",1447,"02","QB","ct_9","O","525d",13518,"tr_4"
1290,"C","APP",861,"02","CA","ct_6","A","683a",2621,"tr_1"
1294,"C","CDI",1895,"02","CC","ct_9","O","627d",22551,"tr_3"
1303,"C","CDI",190,"02","CM","ct_9","O","623e",1922,"tr_3"
1305,"C","CDI",1823,"02","HZ","ct_9","O","451a",18207,"tr_2"
1308,"C","CDI",1834,"02","CK","ct_9","O","623e",20177,"tr_2"
1310,"C","CDI",1133,"92","GZ","ct_9","O","484a",58894,"tr_6"
1312,"P","CDI",1385,"02","IZ","ct_9","O","561c",15066,"tr_1"
1318,"C","CDI",1820,"02","HZ","ct_9","O","652a",24872,"tr_6"
1324,"P","CDI",960,"59","QB","ct_8","O","563c",8920,"tr_6"
1333,"C","CDI",1138,"93","HZ","ct_9","O","389b",68443,"tr_6"
1340,"C","CDI",1453,"02","CH","ct_9","O","673c",20497,"tr_6"
1343,"C","CDI",1392,"02","FZ","ct_9","O","621b",30877,"tr_4"
1351,"P","CDI",900,"02","NZ","ct_8","O","543b",13433,"tr_1"
1353,"C","APP",1375,"02","NZ","ct_6","A","631a",5853,"tr_1"
1360,"C","CDI",1820,"02","GZ","ct_9","O","374c",59425,"tr_2"
1365,"P","CDI",1238,"02","HZ","ct_9","O","641b",11617,"tr_3"
1374,"C","CDI",1093,"93","HZ","ct_9","O","676a",11553,"tr_4"
1377,"C","CDI",1814,"51","QA","ct_3","O","431f",24783,"tr_5"
1398,"C","CDI",1981,"02","CE","ct_9","O","477d",45764,"tr_3"
1402,"N","TTP",174,"02","NZ","ct_9","O","633a",1667,"tr_1"
1408,"P","CDD",566,"75","QB","ct_8","O","563b",6796,"tr_4"
1410,"C","CDI",1820,"02","OZ","ct_2","O","451g",32825,"tr_3"
1412,"P","CDI",1483,"51","GZ","ct_9","O","551a",15330,"tr_6"
1413,"C","CDI",1093,"93","HZ","ct_9","O","676a",10393,"tr_4"
1414,"C","AUT",1820,"02","HZ","ct_9","O","521a",20747,"tr_5"
1415,"C","CDI",1211,"02","EZ","ct_9","O","651b",18968,"tr_2"
1416,"C","AUT",1764,"02","CC","ct_9","X","653a",15969,"tr_5"
1420,"C","APP",1645,"02","HZ","ct_9","A","673c",6528,"tr_3"
1425,"C","CDI",1477,"02","FZ","ct_6","O","681a",12234,"tr_1"
1427,"C","CDI",1820,"02","KZ","ct_9","O","467a",23100,"tr_1"
1432,"C","CDI",1929,"02","CM","ct_9","O","387b",30681,"tr_4"
1434,"P","CDI",1226,"02","QA","ct_9","O","431f",16803,"tr_4"
1446,"C","AUT",1973,"02","PZ","ct_2","O","421b",26517,"tr_1"
1450,"C","APP",607,"60","CA","ct_9","A","683a",1723,"tr_1"
1456,"C","CDI",1261,"93","NZ","ct_9","O","684a",18904,"tr_3"
1460,"C","CDI",1979,"02","CA","ct_9","O","636c",21660,"tr_2"
1466,"C","CDI",1727,"02","SZ","ct_8","O","435a",31986,"tr_2"
1480,"C","CDI",1820,"95","GZ","ct_9","O","543g",26701,"tr_6"
1482,"N","CDI",225,"02","TZ","ct_7","O","563a",1501,"tr_1"
1485,"C","AUT",1820,"02","HZ","ct_9","O","451a",25421,"tr_3"
1489,"C","CDI",1785,"02","FZ","ct_9","O","621d",34363,"tr_2"
1492,"C","CDD",1169,"51","FZ","ct_9","O","671c",13651,"tr_2"
1499,"C","CDI",2075,"02","QA","ct_6","O","526e",21799,"tr_3"
1502,"C","CDI",267,"14","GZ","ct_9","O","463c",7865,"tr_2"
1504,"P","CDI",2099,"02","MA","ct_9","O","461d",24180,"tr_2"
1507,"P","CDI",1483,"51","GZ","ct_9","O","551a",15651,"tr_6"
1517,"P","CDI",1136,"02","QB","ct_9","O","563b",12139,"tr_3"
1522,"P","CDD",447,"02","QB","ct_9","O","563b",3792,"tr_3"
1531,"C","CDI",1682,"75","HZ","ct_9","O","481b",38099,"tr_6"
1539,"C","CDI",2019,"95","CL","ct_9","O","477b",49661,"tr_6"
1551,"C","CDI",1610,"02","HZ","ct_9","O","655a",17931,"tr_3"
1560,"P","CDI",1414,"02","KZ","ct_9","O","467a",19251,"tr_2"
1571,"C","CDI",1638,"02","EZ","ct_9","O","477d",34184,"tr_3"
1596,"C","CDI",1575,"51","MC","ct_9","O","387b",34774,"tr_2"
1598,"C","AUT",1820,"02","QB","ct_8","O","421b",23959,"tr_1"
1603,"C","CDI",1727,"02","SZ","ct_8","O","435a",32213,"tr_2"
1610,"C","CDI",2003,"77","NZ","ct_9","O","526b",27500,"tr_0"
1611,"C","TTP",1124,"02","NZ","ct_9","O","674c",15242,"tr_1"
1620,"C","CDI",1495,"75","NZ","ct_9","O","526b",18262,"tr_1"
1621,"P","CDI",1338,"02","HZ","ct_9","O","466a",22683,"tr_5"
1635,"C","CDI",1813,"51","QA","ct_9","O","526e",17192,"tr_3"
1639,"C","CDI",1834,"02","CA","ct_9","O","543b",27369,"tr_6"
1652,"C","CDI",1654,"02","QB","ct_9","O","525d",19847,"tr_4"
1655,"C","CDI",1820,"02","OZ","ct_1","O","461f",34313,"tr_4"
1657,"C","CDI",1976,"02","CH","ct_9","O","676e",28965,"tr_3"
1659,"C","CDI",1081,"77","JC","ct_9","O","544a",14787,"tr_4"
1660,"C","CDI",1637,"60","QB","ct_8","O","434g",23641,"tr_3"
1672,"P","CDI",1397,"60","OZ","ct_2","O","525a",20646,"tr_1"
1678,"C","CDI",1832,"02","HZ","ct_9","O","676c",16714,"tr_3"
1682,"C","CDI",1674,"02","CH","ct_9","O","676e",21110,"tr_4"
1684,"C","APP",1658,"78","RZ","ct_1","A","524c",8674,"tr_6"
1690,"C","CDI",1820,"02","PZ","ct_8","O","341a",27217,"tr_3"
1694,"C","CDI",1931,"02","QA","ct_9","O","526e",19085,"tr_1"
1706,"C","CDI",1820,"02","PZ","ct_1","O","423b",29006,"tr_3"
1716,"C","CDI",1820,"80","CA","ct_9","O","487b",32359,"tr_6"
1732,"P","CDD",1153,"02","QB","ct_8","O","684a",8624,"tr_3"
1744,"C","CDI",577,"57","FZ","ct_9","O","641a",4842,"tr_3"
1751,"C","AUT",1820,"02","QB","ct_8","X","684b",9475,"tr_6"
1757,"C","CDI",607,"02","MA","ct_9","O","621a",6334,"tr_3"
1758,"C","CDI",929,"02","CH","ct_9","O","623a",12060,"tr_3"
1761,"C","CDD",407,"02","SZ","ct_9","O","676a",4686,"tr_5"
1764,"C","CDI",1750,"77","KZ","ct_9","O","463d",44817,"tr_3"
1768,"C","CDI",1550,"02","FZ","ct_9","O","671c",18981,"tr_4"
1775,"C","CDI",1561,"02","QA","ct_9","O","526b",19033,"tr_1"
1788,"C","CDI",1654,"02","QB","ct_9","O","525d",18070,"tr_4"
1792,"C","CDI",1620,"02","NZ","ct_9","O","685a",16313,"tr_2"
1801,"C","CDI",1820,"02","QB","ct_8","O","461b",27910,"tr_3"
1813,"C","CDI",1206,"77","RZ","ct_9","O","465b",17014,"tr_6"
1814,"C","CDI",1829,"02","HZ","ct_9","O","641a",19137,"tr_3"
1818,"C","CDI",2029,"03","CM","ct_9","O","374d",37147,"tr_1"
1820,"C","CDI",3000,"03","QB","ct_8","O","434a",30808,"tr_3"
1836,"C","AUT",961,"03","FZ","ct_9","X","681b",9587,"tr_3"
1840,"C","CDI",966,"03","FZ","ct_9","O","472c",8158,"tr_4"
1843,"C","CDI",2047,"77","NZ","ct_9","O","534a",18908,"tr_6"
1853,"C","CDD",1634,"03","CB","ct_9","O","675a",13384,"tr_5"
1857,"C","CDI",2041,"03","GZ","ct_9","O","462b",24135,"tr_6"
1861,"C","CDI",1806,"03","GZ","ct_9","O","374a",49172,"tr_3"
1872,"C","CDI",1820,"03","GZ","ct_9","O","543h",25399,"tr_3"
1874,"C","CDI",1213,"03","PZ","ct_8","O","421b",24295,"tr_1"
1876,"C","CDI",1734,"03","GZ","ct_9","O","462b",22210,"tr_3"
1877,"C","CDI",2033,"57","GZ","ct_9","O","463b",45696,"tr_5"
1884,"P","CDI",277,"03","PZ","ct_1","O","523b",18023,"tr_3"
1887,"P","CDI",1631,"03","GZ","ct_9","O","433d",20978,"tr_1"
1892,"C","CDI",2041,"03","GZ","ct_9","O","462b",25341,"tr_6"
1897,"P","CDI",1372,"03","GZ","ct_9","O","554e",12066,"tr_1"
1911,"C","CDI",1820,"03","QB","ct_8","O","434a",36310,"tr_4"
1913,"N","CDI",1519,"03","TZ","ct_7","O","563c",15344,"tr_1"
1919,"C","CDI",1256,"03","CK","ct_9","O","474c",17962,"tr_4"
1922,"C","CDD",758,"71","QA","ct_3","O","431f",11200,"tr_6"
1924,"P","CDI",1451,"03","QB","ct_8","O","526a",20704,"tr_3"
1926,"C","CDI",1820,"03","HZ","ct_9","O","642a",20113,"tr_1"
1933,"C","CDI",2006,"03","SZ","ct_9","O","564b",19004,"tr_1"
1934,"C","AUT",1820,"03","PZ","ct_1","O","341a",33401,"tr_4"
1935,"C","CDI",1693,"71","CL","ct_9","O","624c",20607,"tr_6"
1937,"C","CDI",2200,"56","HZ","ct_9","O","641a",21817,"tr_5"
1940,"C","CDI",2028,"03","CH","ct_9","O","676e",21137,"tr_2"
1945,"C","CDI",1909,"03","GZ","ct_9","O","462b",23590,"tr_1"
1952,"C","CDI",1820,"03","PZ","ct_8","O","421b",29329,"tr_3"
1964,"C","CDI",1526,"03","GZ","ct_9","O","374d",47963,"tr_3"
1965,"C","CDI",1901,"03","CG","ct_9","O","384b",40095,"tr_4"
1966,"P","CDI",1293,"03","GZ","ct_9","O","552a",11842,"tr_6"
1970,"C","CDI",1939,"03","MA","ct_9","O","461d",34606,"tr_3"
1973,"C","CDI",1453,"03","QB","ct_8","O","526d",12350,"tr_4"
1975,"P","CDI",1456,"03","OZ","ct_1","O","461f",23638,"tr_4"
1976,"P","CDI",1255,"03","CI","ct_9","O","624b",20088,"tr_6"
1980,"N","CDI",754,"03","QB","ct_7","O","563a",2285,"tr_0"
1982,"C","CDI",1511,"73","RZ","ct_8","O","377a",23533,"tr_3"
1989,"C","AUT",2028,"36","OZ","ct_1","O","532a",25418,"tr_6"
1993,"C","CDI",787,"63","FZ","ct_9","O","463e",7982,"tr_1"
1997,"C","TTP",712,"03","NZ","ct_9","O","553c",6629,"tr_1"
1999,"C","CDD",1832,"03","QA","ct_3","O","431e",25894,"tr_6"
2000,"P","CDI",268,"03","QB","ct_8","O","344b",11923,"tr_4"
2009,"C","APP",974,"03","FZ","ct_9","A","632f",5605,"tr_1"
2016,"C","CDI",1613,"71","CG","ct_9","O","475b",17510,"tr_4"
2017,"C","CDI",2200,"03","GZ","ct_9","O","477c",27313,"tr_3"
2019,"C","CDI",814,"03","CA","ct_9","O","643a",6215,"tr_1"
2047,"C","CDI",1597,"03","CH","ct_9","O","479b",24056,"tr_6"
2050,"C","AUT",1517,"63","OZ","ct_1","O","531a",13928,"tr_6"
2052,"C","CDI",1556,"03","CH","ct_9","O","623f",16120,"tr_6"
2055,"C","CDI",1677,"03","GZ","ct_9","O","634c",20587,"tr_3"
2057,"C","CDI",1335,"03","QB","ct_9","O","526d",6450,"tr_4"
2068,"C","CDI",1750,"03","HZ","ct_9","O","466c",38788,"tr_2"
2082,"C","CDI",1828,"03","QB","ct_8","O","525d",21664,"tr_4"
2087,"C","CDI",1646,"92","GZ","ct_9","O","462c",37804,"tr_5"
