"Uid","emp"
456,"temp|1|6"
463,"temp|1|5"
466,"temp|1|6"
474,"temp|1|6"
476,"temp|1|5"
494,"temp|1|6"
497,"temp|1|6"
498,"temp|1|5"
502,"temp|1|5"
507,"temp|1|6"
515,"temp|1|6"
523,"temp|2|2"
529,"temp|1|6"
537,"temp|1|6"
540,"temp|1|6"
543,"temp|1|5"
553,"temp|1|6"
559,"temp|1|6"
565,"temp|1|6"
575,"temp|1|6"
576,"temp|1|5"
580,"temp|2|2"
583,"temp|1|6"
585,"temp|1|6"
588,"temp|1|6"
590,"temp|1|5"
591,"temp|2|1"
592,"temp|1|6"
595,"temp|1|5"
599,"temp|2|1"
609,"temp|1|6"
612,"temp|2|2"
617,"temp|1|6"
628,"temp|1|6"
630,"temp|1|6"
634,"temp|1|5"
635,"temp|1|6"
639,"temp|1|6"
641,"temp|1|6"
646,"temp|1|6"
647,"temp|1|1"
648,"temp|2|2"
660,"temp|2|1"
670,"temp|1|6"
678,"temp|1|6"
680,"temp|1|6"
683,"temp|2|1"
688,"temp|1|6"
693,"temp|1|6"
696,"temp|1|6"
698,"temp|1|6"
703,"temp|2|2"
714,"temp|1|6"
717,"temp|1|1"
722,"temp|1|6"
724,"temp|1|6"
729,"temp|2|1"
734,"temp|1|6"
737,"temp|1|6"
743,"temp|1|6"
747,"temp|1|6"
754,"temp|1|6"
758,"temp|1|5"
760,"temp|1|6"
762,"temp|1|6"
763,"temp|2|1"
766,"temp|1|6"
780,"temp|1|6"
783,"temp|1|6"
787,"temp|2|2"
794,"temp|1|6"
796,"temp|1|6"
801,"temp|1|6"
808,"temp|1|6"
815,"temp|1|6"
819,"temp|1|6"
823,"temp|1|6"
833,"temp|2|1"
837,"temp|2|1"
846,"temp|1|6"
847,"temp|1|2"
859,"temp|1|6"
861,"temp|1|6"
862,"temp|1|6"
871,"temp|1|6"
873,"temp|1|6"
884,"temp|1|6"
890,"temp|1|5"
894,"temp|1|5"
900,"temp|1|6"
902,"temp|1|6"
908,"temp|2|1"
909,"temp|2|1"
910,"temp|2|1"
912,"temp|1|6"
919,"temp|1|2"
928,"temp|1|6"
932,"temp|1|6"
944,"temp|1|6"
945,"temp|1|2"
960,"temp|1|6"
966,"temp|1|1"
967,"temp|1|6"
968,"temp|1|6"
970,"temp|1|5"
971,"temp|1|6"
975,"temp|1|6"
982,"temp|1|6"
986,"temp|1|6"
988,"temp|2|2"
993,"temp|1|6"
997,"temp|1|6"
1002,"temp|1|6"
1007,"temp|1|2"
1009,"temp|1|5"
1011,"temp|1|6"
1013,"temp|1|6"
1018,"temp|1|6"
1021,"temp|1|6"
1023,"temp|1|6"
1029,"temp|1|6"
1033,"temp|1|6"
1034,"temp|2|2"
1035,"temp|1|6"
1037,"temp|1|6"
1038,"temp|1|6"
1043,"temp|1|6"
1044,"temp|1|1"
1049,"temp|1|6"
1057,"temp|1|6"
1079,"temp|1|5"
1082,"temp|1|2"
1085,"temp|1|6"
1093,"temp|2|1"
1096,"temp|1|6"
1100,"temp|1|6"
1106,"temp|1|6"
1110,"temp|1|6"
1123,"temp|2|1"
1124,"temp|1|6"
1140,"temp|1|6"
1144,"temp|1|6"
1146,"temp|2|1"
1147,"temp|1|6"
1148,"temp|1|6"
1149,"temp|1|6"
1151,"temp|1|6"
1152,"temp|1|1"
1153,"temp|1|6"
1154,"temp|1|6"
1161,"temp|1|5"
1177,"temp|1|6"
1186,"temp|1|6"
1191,"temp|1|6"
1197,"temp|1|6"
1213,"temp|1|6"
1214,"temp|1|5"
1218,"temp|1|6"
1219,"temp|1|6"
1220,"temp|1|6"
1225,"temp|1|6"
1228,"temp|1|6"
1229,"temp|1|6"
1240,"temp|1|6"
1246,"temp|1|6"
1248,"temp|1|6"
1253,"temp|1|6"
1258,"temp|1|3"
1262,"temp|1|6"
1269,"temp|2|1"
1272,"temp|1|6"
1274,"temp|2|2"
1278,"temp|1|6"
1286,"temp|1|6"
1289,"temp|1|6"
1290,"temp|1|1"
1294,"temp|1|6"
1296,"temp|1|6"
1303,"temp|1|6"
1305,"temp|1|6"
1308,"temp|1|6"
1310,"temp|1|6"
1312,"temp|1|6"
1318,"temp|1|6"
1324,"temp|1|6"
1332,"temp|2|1"
1333,"temp|1|6"
1337,"temp|2|1"
1340,"temp|1|6"
1343,"temp|1|6"
1351,"temp|1|6"
1353,"temp|1|1"
1359,"temp|2|2"
1360,"temp|1|6"
1365,"temp|1|6"
1368,"temp|1|6"
1373,"temp|1|6"
1374,"temp|1|6"
1376,"temp|2|1"
1377,"temp|1|6"
1379,"temp|1|6"
1394,"temp|2|1"
1398,"temp|1|6"
1402,"temp|1|2"
1407,"temp|2|2"
1408,"temp|1|5"
1410,"temp|1|6"
1412,"temp|1|6"
1413,"temp|1|6"
1414,"temp|1|5"
1415,"temp|1|6"
1416,"temp|1|5"
1420,"temp|1|1"
1425,"temp|1|6"
1427,"temp|1|6"
1430,"temp|2|1"
1432,"temp|1|6"
1434,"temp|1|6"
1446,"temp|1|5"
1450,"temp|1|1"
1456,"temp|1|6"
1460,"temp|1|6"
1466,"temp|1|6"
1468,"temp|2|2"
1480,"temp|1|6"
1482,"temp|1|6"
1485,"temp|1|5"
1489,"temp|1|6"
1492,"temp|1|5"
1499,"temp|1|6"
1502,"temp|1|6"
1504,"temp|1|6"
1507,"temp|1|6"
1517,"temp|1|6"
1522,"temp|1|5"
1531,"temp|1|6"
1533,"temp|1|1"
1539,"temp|1|6"
1551,"temp|1|6"
1560,"temp|1|6"
1571,"temp|1|6"
1588,"temp|2|1"
1596,"temp|1|6"
1598,"temp|1|5"
1603,"temp|1|6"
1605,"temp|2|2"
1610,"temp|1|6"
1611,"temp|1|5"
1620,"temp|1|6"
1621,"temp|1|6"
1629,"temp|2|1"
1635,"temp|1|6"
1639,"temp|1|6"
1645,"temp|2|2"
1652,"temp|1|6"
1654,"temp|2|1"
1655,"temp|1|6"
1657,"temp|1|6"
1659,"temp|1|6"
1660,"temp|1|6"
1663,"temp|1|6"
1670,"temp|2|2"
1672,"temp|1|6"
1678,"temp|1|6"
1682,"temp|1|6"
1683,"temp|2|1"
1684,"temp|1|1"
1689,"temp|1|6"
1690,"temp|1|6"
1694,"temp|1|6"
1705,"temp|1|1"
1706,"temp|1|6"
1716,"temp|1|6"
1732,"temp|1|5"
1744,"temp|1|6"
1746,"temp|1|6"
1751,"temp|1|5"
1757,"temp|1|6"
1758,"temp|1|6"
1761,"temp|1|2"
1764,"temp|1|6"
1768,"temp|1|6"
1774,"temp|2|2"
1775,"temp|1|6"
1788,"temp|1|6"
1792,"temp|1|6"
1801,"temp|1|6"
1813,"temp|1|6"
1814,"temp|1|6"
1817,"temp|2|1"
1818,"temp|1|6"
1820,"temp|1|6"
1827,"temp|1|6"
1828,"temp|2|1"
1836,"temp|1|3"
1840,"temp|1|6"
1843,"temp|1|6"
1846,"temp|2|1"
1853,"temp|1|5"
1857,"temp|1|6"
1858,"temp|1|2"
1861,"temp|1|6"
1870,"temp|1|6"
1872,"temp|1|6"
1874,"temp|1|6"
1876,"temp|1|6"
1877,"temp|1|6"
1884,"temp|1|6"
1885,"temp|1|6"
1887,"temp|1|6"
1890,"temp|1|6"
1892,"temp|1|6"
1893,"temp|1|6"
1894,"temp|1|6"
1896,"temp|1|6"
1897,"temp|1|6"
1899,"temp|1|6"
1901,"temp|1|6"
1911,"temp|1|6"
1913,"temp|1|6"
1918,"temp|1|6"
1919,"temp|1|6"
1922,"temp|1|2"
1924,"temp|1|6"
1926,"temp|1|6"
1932,"temp|2|1"
1933,"temp|1|6"
1934,"temp|1|5"
1935,"temp|1|6"
1937,"temp|1|6"
1939,"temp|1|6"
1940,"temp|1|6"
1942,"temp|1|5"
1945,"temp|1|6"
1952,"temp|1|6"
1964,"temp|1|6"
1965,"temp|1|6"
1966,"temp|1|6"
1970,"temp|1|6"
1973,"temp|1|6"
1975,"temp|1|6"
1976,"temp|1|6"
1980,"temp|1|6"
1981,"temp|1|6"
1982,"temp|1|6"
1989,"temp|1|5"
1993,"temp|1|6"
1997,"temp|1|5"
1999,"temp|1|5"
2000,"temp|1|6"
2009,"temp|1|1"
2011,"temp|1|6"
2016,"temp|1|6"
2017,"temp|1|6"
2019,"temp|1|6"
2021,"temp|1|6"
2030,"temp|1|6"
2040,"temp|1|6"
2047,"temp|1|6"
2050,"temp|1|5"
2052,"temp|1|6"
2053,"temp|2|1"
2055,"temp|1|6"
2057,"temp|1|6"
2060,"temp|2|1"
2068,"temp|1|6"
2072,"temp|1|6"
2082,"temp|1|6"
2087,"temp|1|6"
2101,"temp|1|6"
2103,"temp|1|6"
2104,"temp|2|1"
2105,"temp|1|6"
2122,"temp|1|6"
2126,"temp|1|5"
2133,"temp|1|6"
2139,"temp|1|6"
2141,"temp|1|6"
2155,"temp|1|5"
2163,"temp|2|2"
2164,"temp|1|6"
2165,"temp|1|6"
2168,"temp|1|6"
2170,"temp|1|6"
2171,"temp|1|6"
2172,"temp|1|6"
2176,"temp|1|5"
2182,"temp|1|6"
2186,"temp|1|2"
2190,"temp|1|2"
2193,"temp|1|6"
2197,"temp|1|6"
2201,"temp|1|6"
2202,"temp|1|6"
2204,"temp|1|6"
2216,"temp|1|6"
2229,"temp|1|5"
2234,"temp|1|6"
2242,"temp|2|1"
2245,"temp|2|2"
2246,"temp|1|6"
2252,"temp|1|6"
2265,"temp|1|6"
2268,"temp|1|1"
2269,"temp|1|6"
2270,"temp|1|6"
2271,"temp|1|6"
2278,"temp|1|6"
2279,"temp|1|6"
2280,"temp|1|4"
2286,"temp|1|6"
2287,"temp|1|5"
2295,"temp|1|6"
2300,"temp|1|5"
2304,"temp|1|6"
2316,"temp|1|6"
2322,"temp|1|1"
2326,"temp|2|2"
2327,"temp|1|6"
2329,"temp|1|6"
2331,"temp|1|6"
2333,"temp|1|6"
2337,"temp|1|6"
2353,"temp|1|6"
2357,"temp|1|6"
2362,"temp|1|6"
2365,"temp|1|6"
2379,"temp|2|1"
2389,"temp|1|6"
2393,"temp|1|6"
2394,"temp|2|2"
2396,"temp|1|6"
2399,"temp|2|1"
2404,"temp|1|6"
2407,"temp|1|6"
2412,"temp|1|5"
2414,"temp|1|6"
2417,"temp|1|6"
2423,"temp|1|6"
2430,"temp|1|6"
2432,"temp|2|1"
2440,"temp|1|6"
2443,"temp|1|6"
2446,"temp|2|2"
2452,"temp|2|2"
2456,"temp|1|6"
2461,"temp|1|6"
2466,"temp|1|6"
2471,"temp|1|6"
2473,"temp|1|6"
2476,"temp|1|1"
2477,"temp|1|6"
2486,"temp|2|2"
2492,"temp|1|6"
2497,"temp|1|6"
2500,"temp|2|1"
2502,"temp|1|5"
2507,"temp|2|2"
2511,"temp|1|6"
2514,"temp|2|1"
2518,"temp|1|6"
2523,"temp|1|6"
2532,"temp|1|6"
2534,"temp|1|6"
2535,"temp|1|2"
2539,"temp|1|6"
2540,"temp|1|6"
2542,"temp|2|1"
2543,"temp|1|1"
2559,"temp|1|6"
2582,"temp|1|6"
2585,"temp|1|6"
2587,"temp|1|6"
2596,"temp|1|6"
2598,"temp|1|5"
2604,"temp|1|5"
2605,"temp|1|6"
2608,"temp|1|6"
2609,"temp|1|6"
2611,"temp|2|1"
2618,"temp|1|6"
2620,"temp|1|6"
2623,"temp|2|2"
2624,"temp|1|6"
2625,"temp|1|1"
2626,"temp|1|6"
2632,"temp|1|6"
2637,"temp|1|1"
2650,"temp|1|6"
2655,"temp|1|6"
2659,"temp|1|5"
2662,"temp|1|6"
2668,"temp|1|6"
2672,"temp|1|6"
2676,"temp|1|6"
2679,"temp|1|6"
2682,"temp|1|6"
2683,"temp|2|1"
2688,"temp|1|6"
2690,"temp|1|6"
2695,"temp|1|6"
2697,"temp|1|5"
2699,"temp|1|6"
2702,"temp|1|6"
2704,"temp|1|6"
2706,"temp|2|1"
2715,"temp|1|6"
2717,"temp|2|2"
2718,"temp|1|6"
2720,"temp|2|1"
2722,"temp|1|6"
2726,"temp|1|6"
2727,"temp|1|6"
2731,"temp|2|2"
2736,"temp|1|1"
2744,"temp|1|6"
2746,"temp|1|6"
2750,"temp|1|6"
2752,"temp|1|6"
2753,"temp|1|6"
2759,"temp|1|6"
2761,"temp|1|1"
2770,"temp|1|6"
2775,"temp|1|6"
2777,"temp|1|6"
2778,"temp|1|6"
2783,"temp|1|6"
2784,"temp|2|1"
2785,"temp|2|1"
2789,"temp|1|6"
2794,"temp|1|6"
2795,"temp|1|6"
2799,"temp|1|6"
2807,"temp|2|1"
2813,"temp|1|5"
2815,"temp|1|6"
2816,"temp|1|6"
2817,"temp|1|5"
2822,"temp|1|6"
2824,"temp|1|1"
2825,"temp|1|6"
2833,"temp|1|6"
2834,"temp|1|6"
2841,"temp|1|5"
2842,"temp|1|6"
2860,"temp|1|5"
2861,"temp|1|6"
2864,"temp|1|5"
2865,"temp|2|1"
2866,"temp|1|6"
2868,"temp|1|6"
2884,"temp|1|6"
2888,"temp|1|5"
2890,"temp|2|2"
2891,"temp|1|5"
2892,"temp|1|6"
2900,"temp|1|6"
2901,"temp|2|1"
2919,"temp|2|1"
2922,"temp|1|6"
2929,"temp|1|6"
2930,"temp|1|5"
2937,"temp|1|5"
2943,"temp|1|5"
2958,"temp|1|6"
2965,"temp|1|6"
2966,"temp|1|5"
2971,"temp|1|6"
2972,"temp|1|6"
2979,"temp|1|6"
2990,"temp|1|6"
2991,"temp|1|6"
2995,"temp|1|6"
2997,"temp|1|6"
3000,"temp|1|6"
3001,"temp|1|6"
3004,"temp|1|6"
3006,"temp|1|6"
3007,"temp|1|6"
3014,"temp|1|6"
3016,"temp|1|6"
3017,"temp|2|2"
3021,"temp|2|1"
3023,"temp|1|6"
3025,"temp|1|6"
3028,"temp|1|6"
3038,"temp|1|6"
3040,"temp|1|6"
3048,"temp|2|2"
3052,"temp|1|6"
3055,"temp|1|6"
3058,"temp|1|6"
3060,"temp|1|6"
3062,"temp|1|6"
3064,"temp|1|1"
3066,"temp|1|6"
3067,"temp|1|6"
3070,"temp|1|6"
3073,"temp|2|1"
3075,"temp|1|6"
3076,"temp|1|6"
3077,"temp|2|1"
3083,"temp|1|6"
3084,"temp|1|6"
3087,"temp|1|5"
3092,"temp|1|6"
3095,"temp|1|6"
3105,"temp|1|6"
3107,"temp|1|6"
3108,"temp|1|6"
3109,"temp|1|6"
3111,"temp|1|6"
3115,"temp|1|6"
3122,"temp|1|6"
3124,"temp|1|6"
3134,"temp|1|6"
3136,"temp|1|6"
3150,"temp|1|6"
3154,"temp|1|6"
3161,"temp|2|2"
3164,"temp|1|6"
3166,"temp|1|6"
3170,"temp|2|2"
3175,"temp|1|6"
3176,"temp|1|6"
3177,"temp|1|6"
3179,"temp|1|6"
3186,"temp|1|6"
3193,"temp|2|1"
3194,"temp|1|6"
3197,"temp|1|6"
3200,"temp|1|6"
3209,"temp|1|6"
3225,"temp|1|6"
3228,"temp|1|2"
3229,"temp|1|6"
3232,"temp|1|6"
3233,"temp|1|6"
3235,"temp|1|6"
3236,"temp|1|6"
3253,"temp|1|1"
3256,"temp|1|6"
3266,"temp|1|6"
3272,"temp|2|1"
3274,"temp|1|6"
3276,"temp|1|5"
3285,"temp|1|1"
3286,"temp|1|6"
3287,"temp|1|6"
3288,"temp|1|6"
3295,"temp|1|6"
3296,"temp|1|6"
3298,"temp|1|6"
3314,"temp|1|2"
3317,"temp|1|6"
3318,"temp|1|6"
3323,"temp|1|6"
3326,"temp|1|5"
3329,"temp|1|6"
3335,"temp|1|6"
3336,"temp|1|6"
3342,"temp|1|6"
3346,"temp|1|5"
3348,"temp|1|6"
3350,"temp|1|6"
3352,"temp|2|2"
3354,"temp|2|2"
3357,"temp|2|1"
3363,"temp|1|6"
3365,"temp|1|6"
3372,"temp|1|6"
3373,"temp|1|6"
3376,"temp|2|1"
3379,"temp|1|6"
3383,"temp|1|6"
3391,"temp|1|6"
3394,"temp|1|6"
3399,"temp|1|5"
3400,"temp|1|5"
3402,"temp|1|3"
3403,"temp|1|6"
3405,"temp|2|2"
3411,"temp|1|6"
3412,"temp|1|6"
3413,"temp|1|6"
3419,"temp|1|6"
3424,"temp|1|6"
3426,"temp|1|6"
3431,"temp|2|1"
3435,"temp|1|6"
3439,"temp|1|6"
3441,"temp|1|5"
3442,"temp|1|6"
3447,"temp|1|6"
3448,"temp|1|6"
3449,"temp|1|6"
3455,"temp|1|6"
3461,"temp|2|1"
3463,"temp|1|6"
3467,"temp|1|2"
3473,"temp|1|6"
3479,"temp|1|6"
3487,"temp|1|6"
3488,"temp|1|6"
3492,"temp|2|2"
3494,"temp|1|6"
3499,"temp|1|6"
3504,"temp|1|5"
3505,"temp|1|6"
3506,"temp|1|2"
3509,"temp|1|5"
3510,"temp|1|6"
3524,"temp|1|5"
3526,"temp|1|5"
3527,"temp|2|2"
3533,"temp|1|6"
3534,"temp|2|1"
3535,"temp|2|1"
3541,"temp|1|6"
3542,"temp|1|6"
3553,"temp|2|1"
3560,"temp|1|6"
3561,"temp|1|6"
3563,"temp|1|5"
3566,"temp|1|6"
3568,"temp|1|6"
3569,"temp|2|1"
3573,"temp|1|5"
3574,"temp|1|5"
3576,"temp|1|6"
3583,"temp|1|6"
3586,"temp|1|6"
3595,"temp|2|2"
3599,"temp|1|6"
3600,"temp|2|1"
3603,"temp|1|6"
3608,"temp|1|6"
3622,"temp|1|6"
3623,"temp|1|6"
3629,"temp|1|6"
3645,"temp|1|6"
3647,"temp|2|2"
3661,"temp|2|1"
3663,"temp|2|2"
3668,"temp|1|6"
3669,"temp|1|6"
3675,"temp|1|6"
3676,"temp|1|6"
3679,"temp|1|6"
3692,"temp|1|6"
3694,"temp|1|6"
3702,"temp|1|6"
3709,"temp|1|6"
3710,"temp|1|6"
3717,"temp|1|6"
3719,"temp|1|6"
3738,"temp|1|6"
3739,"temp|1|6"
3741,"temp|2|2"
3750,"temp|1|6"
3753,"temp|1|6"
3755,"temp|2|2"
3760,"temp|1|6"
3761,"temp|1|6"
3766,"temp|2|1"
3767,"temp|1|6"
3768,"temp|1|1"
3770,"temp|1|6"
3774,"temp|1|3"
3780,"temp|1|6"
3782,"temp|1|6"
3785,"temp|1|6"
3787,"temp|2|2"
3788,"temp|1|6"
3789,"temp|1|6"
3793,"temp|1|4"
3796,"temp|1|5"
3802,"temp|1|6"
3803,"temp|1|6"
3804,"temp|1|6"
3817,"temp|1|6"
3818,"temp|1|6"
3821,"temp|1|6"
3837,"temp|1|6"
3839,"temp|2|2"
3846,"temp|1|6"
3854,"temp|1|6"
3856,"temp|1|6"
3857,"temp|2|1"
3859,"temp|1|5"
3863,"temp|2|2"
3868,"temp|1|6"
3877,"temp|1|6"
3878,"temp|1|6"
3881,"temp|1|6"
3883,"temp|1|6"
3885,"temp|1|6"
3886,"temp|1|6"
3888,"temp|1|6"
3900,"temp|1|6"
3905,"temp|1|6"
3922,"temp|1|2"
3923,"temp|1|5"
3927,"temp|1|6"
3929,"temp|1|6"
3940,"temp|1|6"
3941,"temp|1|6"
3951,"temp|1|2"
3952,"temp|1|6"
3954,"temp|1|6"
3955,"temp|1|6"
3962,"temp|2|2"
3964,"temp|2|1"
3966,"temp|1|6"
3976,"temp|1|6"
3983,"temp|1|6"
3984,"temp|1|6"
3986,"temp|1|6"
3994,"temp|1|6"
4000,"temp|1|6"
4004,"temp|1|6"
4014,"temp|1|6"
4015,"temp|1|6"
4019,"temp|1|6"
4021,"temp|1|5"
4029,"temp|1|6"
4031,"temp|1|5"
4035,"temp|1|6"
4036,"temp|1|6"
4041,"temp|1|5"
4044,"temp|1|6"
4045,"temp|1|6"
4063,"temp|1|6"
4064,"temp|1|3"
4069,"temp|1|6"
4073,"temp|1|3"
4085,"temp|1|6"
4089,"temp|1|6"
4092,"temp|1|6"
4100,"temp|1|6"
4104,"temp|1|5"
4120,"temp|1|6"
4121,"temp|1|6"
4123,"temp|2|2"
4124,"temp|1|6"
4127,"temp|1|6"
4137,"temp|1|6"
4139,"temp|1|6"
4145,"temp|1|6"
4149,"temp|1|6"
4150,"temp|1|5"
4153,"temp|1|5"
4154,"temp|1|6"
4155,"temp|1|6"
4171,"temp|1|6"
4175,"temp|1|6"
4177,"temp|1|6"
4179,"temp|2|2"
4181,"temp|1|6"
4182,"temp|1|6"
4184,"temp|1|6"
4188,"temp|2|2"
4197,"temp|1|6"
4201,"temp|1|6"
4204,"temp|1|5"
4213,"temp|2|1"
4216,"temp|2|1"
4219,"temp|1|6"
4220,"temp|1|6"
4225,"temp|1|6"
4227,"temp|1|2"
4228,"temp|1|5"
4231,"temp|1|6"
4238,"temp|2|1"
4239,"temp|1|6"
4247,"temp|1|6"
4256,"temp|1|6"
4260,"temp|1|6"
4263,"temp|1|6"
4270,"temp|1|6"
4274,"temp|2|1"
4292,"temp|2|1"
4294,"temp|1|6"
4295,"temp|1|6"
4300,"temp|1|6"
4311,"temp|1|6"
4312,"temp|1|6"
4321,"temp|1|6"
4322,"temp|1|6"
4327,"temp|2|2"
4328,"temp|1|6"
4332,"temp|1|6"
4333,"temp|1|6"
4350,"temp|1|6"
4353,"temp|1|6"
4354,"temp|1|6"
4355,"temp|1|6"
4357,"temp|1|6"
4363,"temp|1|6"
4364,"temp|1|5"
4372,"temp|1|6"
4375,"temp|2|1"
4376,"temp|1|6"
4379,"temp|1|2"
4395,"temp|1|6"
4397,"temp|2|1"
4403,"temp|2|2"
4412,"temp|1|6"
4413,"temp|1|6"
4415,"temp|2|2"
4417,"temp|2|2"
4424,"temp|1|6"
4426,"temp|1|6"
4437,"temp|1|6"
4438,"temp|1|5"
4444,"temp|2|2"
4450,"temp|1|6"
4465,"temp|2|1"
4477,"temp|1|6"
4482,"temp|1|6"
4487,"temp|2|2"
4491,"temp|2|2"
4494,"temp|2|1"
4502,"temp|1|6"
4504,"temp|1|6"
4505,"temp|1|6"
4507,"temp|1|6"
4510,"temp|1|6"
4511,"temp|1|6"
4520,"temp|1|2"
4525,"temp|1|5"
4529,"temp|1|6"
4533,"temp|2|1"
4537,"temp|1|6"
4539,"temp|1|6"
4549,"temp|1|6"
4554,"temp|1|6"
4557,"temp|1|6"
4558,"temp|1|6"
4564,"temp|1|6"
4568,"temp|1|6"
4570,"temp|1|6"
4574,"temp|1|6"
4575,"temp|1|6"
4576,"temp|1|6"
4580,"temp|1|2"
4581,"temp|1|1"
4583,"temp|2|2"
4592,"temp|1|5"
4598,"temp|1|6"
4599,"temp|1|6"
4604,"temp|1|6"
4605,"temp|1|6"
4612,"temp|1|6"
4614,"temp|1|6"
4617,"temp|1|6"
4618,"temp|1|6"
4626,"temp|2|1"
4628,"temp|2|2"
4633,"temp|1|5"
4638,"temp|1|6"
4649,"temp|1|6"
4654,"temp|2|1"
4662,"temp|1|6"
4665,"temp|2|1"
4670,"temp|1|6"
4678,"temp|1|6"
4686,"temp|1|5"
4692,"temp|2|1"
4704,"temp|1|6"
4706,"temp|1|6"
4716,"temp|1|6"
4723,"temp|1|6"
4726,"temp|1|6"
4732,"temp|2|2"
4736,"temp|1|6"
4740,"temp|1|6"
4743,"temp|1|6"
4749,"temp|1|6"
4752,"temp|1|6"
4755,"temp|1|6"
4766,"temp|2|1"
4769,"temp|1|6"
4772,"temp|1|6"
4775,"temp|2|1"
4776,"temp|2|1"
4778,"temp|1|6"
4785,"temp|2|2"
4789,"temp|1|6"
4790,"temp|1|5"
4798,"temp|1|6"
4800,"temp|1|6"
4801,"temp|1|6"
4802,"temp|1|6"
4803,"temp|1|6"
4812,"temp|1|6"
4814,"temp|1|6"
4816,"temp|1|6"
4822,"temp|1|6"
4824,"temp|1|6"
4826,"temp|1|6"
4830,"temp|1|6"
4833,"temp|1|1"
4834,"temp|1|6"
4838,"temp|1|6"
4839,"temp|1|6"
4840,"temp|1|6"
4850,"temp|1|6"
4852,"temp|1|6"
4854,"temp|1|6"
4855,"temp|1|6"
4858,"temp|1|6"
4862,"temp|1|6"
4863,"temp|1|6"
4865,"temp|1|6"
4871,"temp|1|6"
4872,"temp|1|6"
4877,"temp|1|6"
4883,"temp|2|1"
4886,"temp|1|6"
4893,"temp|1|6"
4895,"temp|1|5"
4896,"temp|1|6"
4899,"temp|1|6"
4900,"temp|2|1"
4903,"temp|1|6"
4904,"temp|1|6"
4906,"temp|1|6"
4908,"temp|1|6"
4911,"temp|1|6"
4919,"temp|1|2"
4922,"temp|1|6"
4925,"temp|1|6"
4930,"temp|2|2"
4932,"temp|1|6"
4934,"temp|1|6"
4936,"temp|2|1"
4937,"temp|1|6"
4944,"temp|1|6"
4953,"temp|1|5"
4955,"temp|1|6"
4956,"temp|1|6"
4961,"temp|1|6"
4962,"temp|1|6"
4970,"temp|2|2"
4975,"temp|1|6"
4976,"temp|1|5"
4986,"temp|2|1"
4989,"temp|1|6"
4994,"temp|2|1"
4999,"temp|1|6"
5008,"temp|1|6"
5010,"temp|2|1"
5012,"temp|1|5"
5014,"temp|1|6"
5027,"temp|1|6"
5028,"temp|1|6"
5029,"temp|1|6"
5030,"temp|2|2"
5031,"temp|1|6"
5035,"temp|1|6"
5040,"temp|1|2"
5042,"temp|1|6"
5044,"temp|1|6"
5047,"temp|1|6"
5048,"temp|1|6"
5049,"temp|1|6"
5050,"temp|2|1"
5053,"temp|1|6"
5055,"temp|2|2"
5058,"temp|1|6"
5060,"temp|1|6"
5061,"temp|2|2"
5065,"temp|1|6"
5070,"temp|1|6"
5073,"temp|1|6"
5080,"temp|1|6"
5084,"temp|1|6"
5087,"temp|1|6"
5088,"temp|1|6"
5099,"temp|1|6"
