"Uid","Familty_type","Highest_diploma","insee_code","Job_42","ACT","sex","Studying","age_2020","target"
192,"FT.4.1","EDU3","01053","csp_8_4","AT2|2","Male",FALSE,18,622.794883967141
195,"FT.4.1","EDU1-6","01053","csp_4_3","AT1|1","Male",FALSE,44,384.664642300419
196,"FT.3.2","EDU3","01053","csp_8_5","AT2|2","Male",TRUE,15,631.699085411752
200,"FT.4.1","EDU1-3","01053","csp_5_5","AT1|1","Female",FALSE,52,270.821307826326
201,"FT.4.4","EDU3","01053","csp_7_7","AT2|1","Male",FALSE,66,493.69734877352
202,"FT.4.4","EDU1-1","01053","csp_7_8","AT2|1","Male",FALSE,88,475.269518457144
204,"FT.4.1","EDU1-6","01053","csp_5_6","AT1|1","Male",FALSE,51,217.450276196647
206,"FT.4.4","EDU1","01053","csp_8_6","AT2|1","Female",FALSE,79,414.727537492846
207,"FT.4.1","EDU1-7","01053","csp_4_7","AT1|1","Female",FALSE,52,435.403216806415
208,"FT.3.2","EDU1-7","01053","csp_3_4","AT1|1","Female",FALSE,31,362.186745833426
209,"FT.3.2","EDU1-2","01053","csp_8_4","AT2|2","Male",TRUE,18,693.892788264814
211,"FT.3.1","EDU2","01054","csp_6_8","AT1|1","Male",TRUE,21,438.451771974337
214,"FT.4.1","EDU2","01054","csp_5_2","AT1|1","Female",FALSE,50,310.674903766427
215,"FT.4.1","EDU1-7","01054","csp_4_3","AT1|1","Female",FALSE,33,302.55061094482
218,"FT.3.2","EDU3","01060","csp_8_5","AT2|2","Male",TRUE,15,613.374558282443
222,"FT.4.2","EDU1-3","01062","csp_6_3","AT1|1","Male",FALSE,39,389.100979787054
224,"FT.4.4","EDU1-8","01063","csp_7_4","AT2|1","Male",FALSE,76,385.925204034567
227,"FT.3.2","EDU1-2","01068","csp_8_4","AT2|2","Female",TRUE,20,735.943793011983
231,"FT.1.2","EDU1-7","01069","csp_4_2","AT1|1","Female",FALSE,47,572.051192955276
232,"FT.4.4","EDU3","01069","csp_7_8","AT2|1","Male",FALSE,83,464.581738702342
233,"FT.3.2","EDU1-4","01069","csp_4_5","AT1|1","Female",FALSE,52,447.583102938939
234,"FT.1.1","EDU1-6","01071","csp_7_2","AT2|1","Male",FALSE,68,343.51986128834
235,"FT.4.1","EDU1-6","01071","csp_2_3","AT1|1","Female",FALSE,60,214.645611909533
237,"FT.4.2","EDU1-3","01071","csp_4_7","AT1|1","Male",FALSE,45,355.359505948119
238,"FT.1.2","EDU1-3","01071","csp_7_7","AT2|1","Female",FALSE,81,439.670853453548
240,"FT.4.1","EDU1-6","01071","csp_4_6","AT1|1","Male",FALSE,25,311.347061844176
244,"FT.4.1","EDU1-8","01072","csp_3_4","AT1|1","Female",TRUE,32,234.563168089748
245,"FT.4.2","EDU1-8","01072","csp_3_4","AT1|1","Male",FALSE,56,308.836719886049
246,"FT.1.2","EDU1-4","01072","csp_5_6","AT1|1","Female",FALSE,34,341.439236984115
247,"FT.1.1","EDU1-7","01073","csp_8_4","AT2|2","Male",TRUE,31,660.084614103467
248,"FT.4.1","EDU1-4","01074","csp_5_2","AT1|1","Female",FALSE,39,350.760781986786
249,"FT.4.4","EDU1-3","01074","csp_7_7","AT2|1","Female",FALSE,71,432.692454850748
252,"FT.4.2","EDU1-4","01074","csp_8_5","AT2|4","Female",FALSE,40,374.133168436537
253,"FT.1.2","EDU1-4","01074","csp_8_4","AT2|2","Female",TRUE,21,586.994242523891
256,"FT.4.1","EDU1-3","01074","csp_6_2","AT1|1","Male",FALSE,51,354.635852950632
259,"FT.4.1","EDU1-6","01078","csp_3_7","AT1|1","Male",FALSE,52,374.789998517128
261,"FT.1.1","EDU1-2","01079","csp_7_2","AT2|1","Male",FALSE,67,435.426316721164
262,"FT.3.2","EDU1-5","01079","csp_5_2","AT1|2","Male",FALSE,20,538.568785271685
264,"FT.2.0","EDU1-1","01081","csp_7_8","AT2|1","Male",FALSE,71,495.523690162528
265,"FT.3.2","EDU1-2","01081","csp_8_4","AT2|2","Female",TRUE,18,735.361877809166
266,"FT.4.1","EDU1-6","01081","csp_8_5","AT2|5","Male",FALSE,32,655.184821014025
269,"FT.4.2","EDU1-2","01084","csp_8_4","AT2|2","Male",TRUE,21,669.59345293887
270,"FT.4.2","EDU1-2","01084","csp_5_6","AT1|2","Female",FALSE,24,470.819749073703
271,"FT.1.1","EDU2","01085","csp_7_8","AT2|1","Male",FALSE,99,344.140234180143
272,"FT.4.4","EDU1-1","01088","csp_7_8","AT2|1","Male",FALSE,71,509.903705160701
273,"FT.3.2","EDU2","01088","csp_7_7","AT2|1","Female",FALSE,80,331.970346534269
275,"FT.2.0","EDU1-7","01089","csp_4_7","AT1|1","Male",FALSE,34,512.932100096046
277,"FT.4.4","EDU1-3","01092","csp_7_4","AT2|1","Male",FALSE,67,458.535840835632
282,"FT.3.2","EDU3","01093","csp_8_5","AT2|2","Male",TRUE,17,617.030238212229
284,"FT.4.1","EDU1-7","01093","csp_4_6","AT1|1","Female",FALSE,29,363.571907696871
286,"FT.2.0","EDU1-8","01093","csp_4_7","AT1|1","Male",FALSE,34,407.20520231458
288,"FT.4.2","EDU1-2","01094","csp_8_4","AT2|2","Male",TRUE,17,668.838434659492
294,"FT.1.1","EDU1-5","01098","csp_1_2","AT1|1","Male",FALSE,47,541.721752446062
295,"FT.4.2","EDU1-1","01099","csp_8_6","AT2|4","Female",FALSE,68,452.476056358051
296,"FT.4.3","EDU1-5","01102","csp_6_8","AT1|1","Male",FALSE,22,785.234309872009
303,"FT.1.1","EDU2","01109","csp_6_8","AT1|1","Male",FALSE,45,508.594126386109
304,"FT.1.2","EDU1-3","01109","csp_7_2","AT2|1","Female",FALSE,67,412.178788990994
305,"FT.4.3","EDU1-3","01109","csp_6_3","AT1|2","Male",FALSE,21,647.527600929298
309,"FT.4.4","EDU1-8","01109","csp_7_5","AT2|1","Female",FALSE,66,377.861226365352
310,"FT.4.4","EDU1-4","01112","csp_7_5","AT2|1","Female",FALSE,70,420.450180516008
311,"FT.4.4","EDU1-1","01113","csp_7_8","AT2|1","Female",FALSE,75,534.893990217111
315,"FT.4.1","EDU1-5","01118","csp_5_2","AT1|1","Male",FALSE,27,358.705242567552
317,"FT.2.0","EDU1","01123","csp_8_6","AT2|1","Female",FALSE,87,358.626408202423
324,"FT.2.0","EDU1-4","01134","csp_4_6","AT1|1","Female",FALSE,41,345.242760766542
325,"FT.4.4","EDU1-6","01134","csp_6_8","AT1|2","Male",TRUE,50,549.010588959522
326,"FT.4.3","EDU3","01135","csp_2_2","AT1|1","Female",FALSE,27,538.483622124929
327,"FT.4.1","EDU1-3","01135","csp_5_4","AT1|1","Female",FALSE,28,433.071252200748
328,"FT.4.2","EDU1-3","01135","csp_5_4","AT1|2","Female",FALSE,61,391.607897577686
329,"FT.4.1","EDU1-5","01135","csp_4_2","AT1|1","Male",FALSE,64,428.073089490463
330,"FT.1.1","EDU1-4","01135","csp_7_5","AT2|1","Male",FALSE,81,347.985954068685
331,"FT.4.4","EDU1-6","01135","csp_7_4","AT2|1","Male",FALSE,69,405.994756999691
332,"FT.4.1","EDU1-7","01136","csp_5_5","AT1|1","Female",FALSE,48,262.0078259421
336,"FT.4.1","EDU1-5","01138","csp_4_3","AT1|1","Male",FALSE,42,497.371934776858
338,"FT.4.1","EDU1-6","01142","csp_3_4","AT1|1","Female",FALSE,41,404.897103639771
339,"FT.4.4","EDU1-3","01142","csp_7_8","AT2|1","Female",FALSE,63,481.781637510701
340,"FT.4.1","EDU1-3","01142","csp_6_7","AT1|1","Female",FALSE,31,604.317417158992
341,"FT.4.2","EDU1-2","01142","csp_8_4","AT2|2","Female",TRUE,20,652.541619831132
345,"FT.4.4","EDU1-3","01142","csp_7_8","AT2|1","Male",FALSE,64,490.985140733783
346,"FT.2.0","EDU1-4","01142","csp_8_4","AT2|2","Female",TRUE,21,621.183359736862
347,"FT.4.4","EDU1-1","01142","csp_7_8","AT2|1","Male",FALSE,71,509.176692683234
349,"FT.3.2","EDU1-2","01143","csp_8_4","AT2|2","Male",TRUE,18,726.365077172632
353,"FT.4.2","EDU1-3","01145","csp_7_5","AT2|1","Female",FALSE,65,363.964510087594
355,"FT.1.2","EDU2","01148","csp_7_7","AT2|1","Female",FALSE,68,377.948816464647
356,"FT.4.1","EDU1-7","01148","csp_4_6","AT1|1","Female",FALSE,36,471.993185960454
360,"FT.4.3","EDU2","01151","csp_8_1","AT1|2","Female",FALSE,52,511.588858248053
361,"FT.3.2","EDU1-3","01153","csp_6_8","AT1|1","Male",FALSE,37,695.941369747794
363,"FT.3.2","EDU1-2","01153","csp_7_7","AT2|1","Female",FALSE,77,499.731175374373
366,"FT.4.4","EDU2","01157","csp_7_8","AT2|1","Male",FALSE,83,404.544685089958
368,"FT.2.0","EDU1-6","01157","csp_4_6","AT1|1","Female",FALSE,38,335.725790857409
370,"FT.3.1","EDU1-3","01158","csp_6_4","AT1|1","Male",FALSE,48,678.672233885922
373,"FT.4.3","EDU1-3","01159","csp_7_8","AT2|1","Male",FALSE,65,398.719079508353
374,"FT.1.1","EDU1-3","01159","csp_6_8","AT1|1","Male",FALSE,47,445.146945305446
375,"FT.1.2","EDU1-1","01159","csp_7_7","AT2|1","Female",FALSE,83,466.273915473657
378,"FT.4.1","EDU1-3","01159","csp_6_2","AT1|1","Male",FALSE,45,563.545492775432
380,"FT.4.2","EDU1-8","01160","csp_3_1","AT1|1","Male",FALSE,65,280.822016372674
381,"FT.4.1","EDU1-8","01160","csp_3_8","AT1|1","Male",FALSE,39,321.031449231799
382,"FT.1.1","EDU1","01160","csp_7_1","AT2|1","Male",FALSE,76,452.157018657278
383,"FT.1.2","EDU1-4","01160","csp_5_3","AT1|1","Female",FALSE,32,409.094393438741
384,"FT.1.1","EDU1-3","01160","csp_7_8","AT2|1","Male",FALSE,74,369.994604878615
389,"FT.4.4","EDU1-6","01160","csp_7_4","AT2|1","Male",FALSE,69,357.923229004354
390,"FT.4.1","EDU1-6","01160","csp_3_7","AT1|1","Female",FALSE,56,295.965203852336
391,"FT.4.1","EDU1-1","01160","csp_5_6","AT1|1","Female",FALSE,54,325.664516546745
392,"FT.4.1","EDU1-4","01160","csp_5_5","AT1|1","Female",FALSE,30,294.694858329916
398,"FT.3.2","EDU1-6","01165","csp_5_4","AT1|1","Male",TRUE,20,299.342015765286
399,"FT.4.1","EDU1-8","01166","csp_4_2","AT1|1","Female",FALSE,52,312.70172535897
400,"FT.4.1","EDU1-8","01166","csp_3_8","AT1|1","Male",FALSE,43,272.859379500343
401,"FT.4.1","EDU1-6","01166","csp_4_3","AT1|1","Female",FALSE,51,327.5742902229
402,"FT.4.1","EDU1-5","01166","csp_1_1","AT1|1","Male",FALSE,39,533.701002041619
403,"FT.4.2","EDU1-5","01167","csp_6_2","AT1|1","Male",FALSE,36,439.779733900156
408,"FT.4.1","EDU1-3","01173","csp_6_4","AT1|1","Male",FALSE,32,515.804476726308
410,"FT.1.2","EDU1-2","01173","csp_7_5","AT2|1","Female",FALSE,71,504.071947753445
411,"FT.3.2","EDU1-3","01173","csp_5_6","AT1|1","Female",FALSE,57,331.980215109979
412,"FT.4.1","EDU1-3","01173","csp_5_2","AT1|1","Male",FALSE,55,337.109218107309
417,"FT.4.3","EDU1","01173","csp_7_8","AT2|1","Male",FALSE,69,357.265779849675
418,"FT.1.1","EDU1-3","01173","csp_7_4","AT2|1","Male",FALSE,70,390.381537289388
421,"FT.4.1","EDU1-7","01179","csp_4_7","AT1|1","Female",FALSE,37,392.841239102443
423,"FT.4.1","EDU1-6","01179","csp_6_7","AT1|1","Male",FALSE,50,505.205898617849
424,"FT.4.4","EDU1-3","01179","csp_8_5","AT2|5","Female",FALSE,37,710.05459823074
425,"FT.4.1","EDU1-7","01179","csp_5_2","AT1|1","Female",FALSE,47,295.382117688747
426,"FT.4.2","EDU1-7","01179","csp_5_4","AT1|2","Female",FALSE,26,487.615912926368
428,"FT.4.1","EDU1-6","01180","csp_3_8","AT1|1","Male",FALSE,43,483.281915689298
429,"FT.3.2","EDU1-3","01180","csp_8_5","AT2|5","Male",FALSE,40,682.992716363688
432,"FT.4.4","EDU2","01181","csp_5_4","AT1|2","Male",FALSE,39,573.531566601631
435,"FT.1.2","EDU1-7","01181","csp_5_4","AT1|1","Female",FALSE,51,421.487753394918
439,"FT.4.1","EDU1-8","01184","csp_3_7","AT1|1","Male",FALSE,32,385.379771153954
441,"FT.4.1","EDU1-4","01185","csp_8_4","AT2|2","Male",TRUE,24,532.441303227297
449,"FT.1.2","EDU1-6","01187","csp_4_6","AT1|1","Female",FALSE,36,269.928084881837
453,"FT.1.2","EDU1-5","01192","csp_7_7","AT2|1","Female",FALSE,89,367.379698552356
456,"FT.4.1","EDU1-3","01194","csp_5_2","AT1|1","Female",FALSE,41,227.035067808583
459,"FT.1.1","EDU1-2","01194","csp_7_2","AT2|1","Male",FALSE,78,456.689964256635
463,"FT.1.1","EDU1-9","01194","csp_3_7","AT1|1","Male",FALSE,33,554.402417053752
464,"FT.4.4","EDU1-4","01194","csp_8_5","AT2|4","Female",FALSE,56,512.239535672998
465,"FT.3.2","EDU1-2","01194","csp_8_4","AT2|2","Female",TRUE,18,740.593787328871
466,"FT.4.1","EDU1-8","01195","csp_4_3","AT1|1","Female",FALSE,54,311.833042438881
468,"FT.4.3","EDU1-1","01196","csp_7_8","AT2|1","Male",FALSE,75,420.960981329342
474,"FT.4.1","EDU1-3","01199","csp_5_6","AT1|1","Female",FALSE,47,323.702431917593
475,"FT.3.2","EDU1-1","01200","csp_7_7","AT2|1","Female",FALSE,80,429.589042439059
476,"FT.4.1","EDU1-8","01202","csp_5_2","AT1|1","Female",FALSE,59,162.272103184082
477,"FT.1.2","EDU1-1","01202","csp_7_1","AT2|1","Female",FALSE,83,505.751842795712
478,"FT.4.4","EDU1-1","01202","csp_7_1","AT2|1","Male",FALSE,71,532.689698118421
480,"FT.4.4","EDU1-4","01202","csp_7_4","AT2|1","Male",FALSE,86,339.109451489033
481,"FT.4.3","EDU1-1","01202","csp_7_2","AT2|1","Male",FALSE,65,372.679326296065
482,"FT.4.2","EDU1-4","01202","csp_5_6","AT1|2","Female",FALSE,28,375.980090593286
486,"FT.3.2","EDU1-2","01202","csp_8_4","AT2|2","Female",TRUE,17,687.73396300681
487,"FT.4.2","EDU1-3","01202","csp_8_5","AT2|4","Female",FALSE,54,406.850017669487
489,"FT.4.2","EDU2","01203","csp_8_5","AT2|4","Female",FALSE,41,389.287607036675
493,"FT.4.4","EDU1-1","01204","csp_7_1","AT2|1","Male",FALSE,81,590.430262078757
494,"FT.4.1","EDU1-7","01210","csp_3_3","AT1|1","Female",FALSE,43,431.791319814601
495,"FT.1.1","EDU1-3","01211","csp_7_8","AT2|1","Male",FALSE,77,420.168436282236
497,"FT.3.2","EDU1-7","01211","csp_4_2","AT1|1","Female",FALSE,46,392.996497671574
498,"FT.4.1","EDU1-3","01213","csp_5_2","AT1|1","Female",FALSE,46,275.813306696055
500,"FT.4.4","EDU1-3","01216","csp_7_5","AT2|1","Female",FALSE,79,391.321228656074
501,"FT.4.1","EDU1-4","01219","csp_8_4","AT2|2","Male",TRUE,21,569.766085744515
502,"FT.4.4","EDU1-3","01229","csp_5_5","AT1|1","Male",FALSE,30,470.466754721607
507,"FT.4.1","EDU1-3","01231","csp_5_6","AT1|1","Female",FALSE,53,328.960912234077
511,"FT.2.0","EDU1-3","01232","csp_6_8","AT1|2","Male",FALSE,46,722.63851716504
515,"FT.4.1","EDU1-3","01232","csp_5_2","AT1|1","Female",FALSE,47,486.40520896962
516,"FT.4.4","EDU1-7","01232","csp_7_7","AT2|1","Female",FALSE,67,426.025839611236
518,"FT.4.4","EDU1-3","01235","csp_7_7","AT2|1","Female",FALSE,68,469.40208578739
520,"FT.4.4","EDU2","01237","csp_8_6","AT2|4","Female",FALSE,82,477.136859627141
523,"FT.1.1","EDU1-6","01238","csp_2_1","AT1|1","Male",FALSE,39,478.720500646724
526,"FT.4.4","EDU3","01238","csp_7_4","AT2|1","Male",FALSE,92,447.703594591613
529,"FT.1.2","EDU1-7","01241","csp_4_3","AT1|1","Female",FALSE,58,471.329814410481
530,"FT.1.2","EDU1-5","01241","csp_8_5","AT2|4","Female",FALSE,58,505.925721608382
533,"FT.4.4","EDU1-6","01244","csp_7_8","AT2|1","Male",FALSE,81,338.838573722472
534,"FT.4.4","EDU1-1","01244","csp_7_8","AT2|1","Female",FALSE,69,480.697942240606
535,"FT.4.4","EDU1-4","01244","csp_7_5","AT2|1","Female",FALSE,73,383.508468034815
537,"FT.4.1","EDU1-4","01244","csp_5_2","AT1|1","Female",FALSE,49,333.495827650715
538,"FT.4.2","EDU1","01244","csp_8_5","AT2|4","Female",FALSE,59,381.903861595133
540,"FT.4.1","EDU1-3","01244","csp_5_2","AT1|1","Female",FALSE,50,359.419071966815
543,"FT.3.2","EDU3","01244","csp_4_6","AT1|1","Female",FALSE,57,423.403726457032
545,"FT.4.2","EDU1-4","01246","csp_8_4","AT2|2","Female",TRUE,19,572.197097322181
546,"FT.3.2","EDU1-2","01246","csp_8_4","AT2|2","Female",TRUE,17,739.068180682641
547,"FT.1.1","EDU1-3","01246","csp_7_8","AT2|1","Male",FALSE,67,431.097150421548
549,"FT.4.2","EDU1-3","01246","csp_5_5","AT1|2","Female",FALSE,58,332.237561882377
552,"FT.3.2","EDU3","01249","csp_8_4","AT2|2","Female",TRUE,15,644.797049290414
553,"FT.4.3","EDU1-3","01249","csp_5_2","AT1|1","Female",FALSE,59,407.042333737392
555,"FT.4.2","EDU1-7","01249","csp_8_6","AT2|4","Female",FALSE,69,358.330760679748
556,"FT.4.3","EDU1-7","01249","csp_4_7","AT1|2","Male",FALSE,44,482.671828509551
559,"FT.4.1","EDU1-5","01249","csp_6_2","AT1|1","Male",FALSE,35,510.474029434728
562,"FT.1.2","EDU1-1","01249","csp_7_8","AT2|1","Female",FALSE,67,468.578989090114
565,"FT.4.1","EDU1-3","01250","csp_5_6","AT1|1","Female",FALSE,38,334.544478530836
566,"FT.1.2","EDU2","01254","csp_7_7","AT2|1","Female",FALSE,85,385.956222899158
568,"FT.4.4","EDU1-1","01255","csp_7_8","AT2|1","Female",FALSE,73,511.470959559019
573,"FT.4.3","EDU1-3","01259","csp_7_8","AT2|1","Male",FALSE,62,397.648281396485
574,"FT.4.2","EDU1-2","01259","csp_8_4","AT2|2","Female",TRUE,20,657.457404449304
575,"FT.4.1","EDU1-3","01262","csp_5_5","AT1|1","Female",FALSE,30,227.475115812613
576,"FT.4.1","EDU1-7","01262","csp_4_7","AT1|1","Male",FALSE,29,465.812276798957
577,"FT.1.2","EDU3","01262","csp_7_7","AT2|1","Female",FALSE,68,443.181643914776
